cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
05652510,31.05,29.11,2009-01-02,BMI,BADGER METER INC,3824.0,411.0
05652510,29.17,30.95,2009-01-05,BMI,BADGER METER INC,3824.0,411.0
05652510,28.0,29.42,2009-01-06,BMI,BADGER METER INC,3824.0,411.0
05652510,27.04,27.57,2009-01-07,BMI,BADGER METER INC,3824.0,411.0
05652510,27.06,26.87,2009-01-08,BMI,BADGER METER INC,3824.0,411.0
05652510,26.47,27.18,2009-01-09,BMI,BADGER METER INC,3824.0,411.0
05652510,25.6,26.49,2009-01-12,BMI,BADGER METER INC,3824.0,411.0
05652510,25.72,25.42,2009-01-13,BMI,BADGER METER INC,3824.0,411.0
05652510,23.43,25.35,2009-01-14,BMI,BADGER METER INC,3824.0,411.0
05652510,25.17,24.0,2009-01-15,BMI,BADGER METER INC,3824.0,411.0
05652510,24.43,25.62,2009-01-16,BMI,BADGER METER INC,3824.0,411.0
05652510,23.2,23.99,2009-01-20,BMI,BADGER METER INC,3824.0,411.0
05652510,24.38,24.07,2009-01-21,BMI,BADGER METER INC,3824.0,411.0
05652510,23.33,23.01,2009-01-22,BMI,BADGER METER INC,3824.0,411.0
05652510,23.64,23.32,2009-01-23,BMI,BADGER METER INC,3824.0,411.0
05652510,23.43,23.75,2009-01-26,BMI,BADGER METER INC,3824.0,411.0
05652510,23.6,23.46,2009-01-27,BMI,BADGER METER INC,3824.0,411.0
05652510,25.19,23.61,2009-01-28,BMI,BADGER METER INC,3824.0,411.0
05652510,23.99,24.78,2009-01-29,BMI,BADGER METER INC,3824.0,411.0
05652510,23.59,24.5,2009-01-30,BMI,BADGER METER INC,3824.0,411.0
05652510,23.1,23.11,2009-02-02,BMI,BADGER METER INC,3824.0,411.0
05652510,24.29,23.27,2009-02-03,BMI,BADGER METER INC,3824.0,411.0
05652510,24.09,24.25,2009-02-04,BMI,BADGER METER INC,3824.0,411.0
05652510,30.51,26.99,2009-02-05,BMI,BADGER METER INC,3824.0,411.0
05652510,28.97,29.19,2009-02-06,BMI,BADGER METER INC,3824.0,411.0
05652510,29.09,29.05,2009-02-09,BMI,BADGER METER INC,3824.0,411.0
05652510,29.31,28.88,2009-02-10,BMI,BADGER METER INC,3824.0,411.0
05652510,29.5,29.89,2009-02-11,BMI,BADGER METER INC,3824.0,411.0
05652510,29.13,29.06,2009-02-12,BMI,BADGER METER INC,3824.0,411.0
05652510,29.37,29.26,2009-02-13,BMI,BADGER METER INC,3824.0,411.0
05652510,28.55,28.1,2009-02-17,BMI,BADGER METER INC,3824.0,411.0
05652510,27.17,29.25,2009-02-18,BMI,BADGER METER INC,3824.0,411.0
05652510,26.53,27.41,2009-02-19,BMI,BADGER METER INC,3824.0,411.0
05652510,25.49,26.09,2009-02-20,BMI,BADGER METER INC,3824.0,411.0
05652510,23.89,25.37,2009-02-23,BMI,BADGER METER INC,3824.0,411.0
05652510,25.76,23.84,2009-02-24,BMI,BADGER METER INC,3824.0,411.0
05652510,25.47,25.84,2009-02-25,BMI,BADGER METER INC,3824.0,411.0
05652510,25.78,26.23,2009-02-26,BMI,BADGER METER INC,3824.0,411.0
05652510,25.1,25.4,2009-02-27,BMI,BADGER METER INC,3824.0,411.0
05652510,23.42,24.9,2009-03-02,BMI,BADGER METER INC,3824.0,411.0
05652510,24.1,24.26,2009-03-03,BMI,BADGER METER INC,3824.0,411.0
05652510,24.77,24.64,2009-03-04,BMI,BADGER METER INC,3824.0,411.0
05652510,23.55,23.9,2009-03-05,BMI,BADGER METER INC,3824.0,411.0
05652510,23.87,23.8,2009-03-06,BMI,BADGER METER INC,3824.0,411.0
05652510,23.26,23.03,2009-03-09,BMI,BADGER METER INC,3824.0,411.0
05652510,25.75,23.64,2009-03-10,BMI,BADGER METER INC,3824.0,411.0
05652510,27.42,25.835,2009-03-11,BMI,BADGER METER INC,3824.0,411.0
05652510,28.93,27.2,2009-03-12,BMI,BADGER METER INC,3824.0,411.0
05652510,27.83,29.01,2009-03-13,BMI,BADGER METER INC,3824.0,411.0
05652510,28.92,28.2,2009-03-16,BMI,BADGER METER INC,3824.0,411.0
05652510,30.05,28.81,2009-03-17,BMI,BADGER METER INC,3824.0,411.0
05652510,30.8,29.94,2009-03-18,BMI,BADGER METER INC,3824.0,411.0
05652510,30.92,31.37,2009-03-19,BMI,BADGER METER INC,3824.0,411.0
05652510,28.67,30.78,2009-03-20,BMI,BADGER METER INC,3824.0,411.0
05652510,32.91,29.24,2009-03-23,BMI,BADGER METER INC,3824.0,411.0
05652510,32.4,32.26,2009-03-24,BMI,BADGER METER INC,3824.0,411.0
05652510,32.41,32.79,2009-03-25,BMI,BADGER METER INC,3824.0,411.0
05652510,33.56,30.95,2009-03-26,BMI,BADGER METER INC,3824.0,411.0
05652510,28.87,33.0,2009-03-27,BMI,BADGER METER INC,3824.0,411.0
05652510,29.58,29.0,2009-03-30,BMI,BADGER METER INC,3824.0,411.0
05652510,28.89,29.87,2009-03-31,BMI,BADGER METER INC,3824.0,411.0
05652510,29.96,28.59,2009-04-01,BMI,BADGER METER INC,3824.0,411.0
05652510,30.68,30.81,2009-04-02,BMI,BADGER METER INC,3824.0,411.0
05652510,31.55,30.69,2009-04-03,BMI,BADGER METER INC,3824.0,411.0
05652510,30.78,30.98,2009-04-06,BMI,BADGER METER INC,3824.0,411.0
05652510,30.48,30.19,2009-04-07,BMI,BADGER METER INC,3824.0,411.0
05652510,30.88,30.57,2009-04-08,BMI,BADGER METER INC,3824.0,411.0
05652510,32.61,31.58,2009-04-09,BMI,BADGER METER INC,3824.0,411.0
05652510,32.75,32.29,2009-04-13,BMI,BADGER METER INC,3824.0,411.0
05652510,32.0,32.09,2009-04-14,BMI,BADGER METER INC,3824.0,411.0
05652510,32.19,31.09,2009-04-15,BMI,BADGER METER INC,3824.0,411.0
05652510,32.94,32.39,2009-04-16,BMI,BADGER METER INC,3824.0,411.0
05652510,32.8,32.86,2009-04-17,BMI,BADGER METER INC,3824.0,411.0
05652510,30.81,32.51,2009-04-20,BMI,BADGER METER INC,3824.0,411.0
05652510,34.69,33.01,2009-04-21,BMI,BADGER METER INC,3824.0,411.0
05652510,36.88,33.83,2009-04-22,BMI,BADGER METER INC,3824.0,411.0
05652510,36.92,37.03,2009-04-23,BMI,BADGER METER INC,3824.0,411.0
05652510,37.69,37.05,2009-04-24,BMI,BADGER METER INC,3824.0,411.0
05652510,36.03,36.84,2009-04-27,BMI,BADGER METER INC,3824.0,411.0
05652510,37.8,36.95,2009-04-28,BMI,BADGER METER INC,3824.0,411.0
05652510,38.81,37.52,2009-04-29,BMI,BADGER METER INC,3824.0,411.0
05652510,38.96,39.33,2009-04-30,BMI,BADGER METER INC,3824.0,411.0
05652510,38.69,39.37,2009-05-01,BMI,BADGER METER INC,3824.0,411.0
05652510,40.72,39.47,2009-05-04,BMI,BADGER METER INC,3824.0,411.0
05652510,38.84,40.44,2009-05-05,BMI,BADGER METER INC,3824.0,411.0
05652510,38.92,38.84,2009-05-06,BMI,BADGER METER INC,3824.0,411.0
05652510,37.33,39.03,2009-05-07,BMI,BADGER METER INC,3824.0,411.0
05652510,38.88,38.08,2009-05-08,BMI,BADGER METER INC,3824.0,411.0
05652510,37.79,38.48,2009-05-11,BMI,BADGER METER INC,3824.0,411.0
05652510,36.25,37.96,2009-05-12,BMI,BADGER METER INC,3824.0,411.0
05652510,35.09,35.77,2009-05-13,BMI,BADGER METER INC,3824.0,411.0
05652510,35.36,35.36,2009-05-14,BMI,BADGER METER INC,3824.0,411.0
05652510,35.18,35.2,2009-05-15,BMI,BADGER METER INC,3824.0,411.0
05652510,36.71,35.67,2009-05-18,BMI,BADGER METER INC,3824.0,411.0
05652510,37.63,35.16,2009-05-19,BMI,BADGER METER INC,3824.0,411.0
05652510,37.44,37.83,2009-05-20,BMI,BADGER METER INC,3824.0,411.0
05652510,36.38,36.75,2009-05-21,BMI,BADGER METER INC,3824.0,411.0
05652510,36.05,36.55,2009-05-22,BMI,BADGER METER INC,3824.0,411.0
05652510,40.58,35.77,2009-05-26,BMI,BADGER METER INC,3824.0,411.0
05652510,40.29,40.27,2009-05-27,BMI,BADGER METER INC,3824.0,411.0
05652510,39.51,40.74,2009-05-28,BMI,BADGER METER INC,3824.0,411.0
05652510,40.62,39.77,2009-05-29,BMI,BADGER METER INC,3824.0,411.0
05652510,41.95,41.55,2009-06-01,BMI,BADGER METER INC,3824.0,411.0
05652510,41.85,41.86,2009-06-02,BMI,BADGER METER INC,3824.0,411.0
05652510,41.4,41.67,2009-06-03,BMI,BADGER METER INC,3824.0,411.0
05652510,42.05,41.64,2009-06-04,BMI,BADGER METER INC,3824.0,411.0
05652510,41.63,42.5,2009-06-05,BMI,BADGER METER INC,3824.0,411.0
05652510,40.9,41.005,2009-06-08,BMI,BADGER METER INC,3824.0,411.0
05652510,40.72,41.24,2009-06-09,BMI,BADGER METER INC,3824.0,411.0
05652510,40.99,41.01,2009-06-10,BMI,BADGER METER INC,3824.0,411.0
05652510,40.32,41.2,2009-06-11,BMI,BADGER METER INC,3824.0,411.0
05652510,39.7,40.08,2009-06-12,BMI,BADGER METER INC,3824.0,411.0
05652510,39.52,39.23,2009-06-15,BMI,BADGER METER INC,3824.0,411.0
05652510,39.37,40.14,2009-06-16,BMI,BADGER METER INC,3824.0,411.0
05652510,42.12,41.3,2009-06-17,BMI,BADGER METER INC,3824.0,411.0
05652510,42.39,42.51,2009-06-18,BMI,BADGER METER INC,3824.0,411.0
05652510,43.72,43.07,2009-06-19,BMI,BADGER METER INC,3824.0,411.0
05652510,43.84,42.87,2009-06-22,BMI,BADGER METER INC,3824.0,411.0
05652510,43.75,44.5,2009-06-23,BMI,BADGER METER INC,3824.0,411.0
05652510,41.57,43.99,2009-06-24,BMI,BADGER METER INC,3824.0,411.0
05652510,41.54,41.43,2009-06-25,BMI,BADGER METER INC,3824.0,411.0
05652510,41.1,41.39,2009-06-26,BMI,BADGER METER INC,3824.0,411.0
05652510,42.2,41.18,2009-06-29,BMI,BADGER METER INC,3824.0,411.0
05652510,41.0,42.19,2009-06-30,BMI,BADGER METER INC,3824.0,411.0
05652510,43.02,41.71,2009-07-01,BMI,BADGER METER INC,3824.0,411.0
05652510,42.2,42.06,2009-07-02,BMI,BADGER METER INC,3824.0,411.0
05652510,40.31,41.49,2009-07-06,BMI,BADGER METER INC,3824.0,411.0
05652510,39.56,40.43,2009-07-07,BMI,BADGER METER INC,3824.0,411.0
05652510,38.68,39.45,2009-07-08,BMI,BADGER METER INC,3824.0,411.0
05652510,38.26,38.31,2009-07-09,BMI,BADGER METER INC,3824.0,411.0
05652510,38.48,38.8,2009-07-10,BMI,BADGER METER INC,3824.0,411.0
05652510,38.87,38.54,2009-07-13,BMI,BADGER METER INC,3824.0,411.0
05652510,38.5,38.9,2009-07-14,BMI,BADGER METER INC,3824.0,411.0
05652510,40.2,38.89,2009-07-15,BMI,BADGER METER INC,3824.0,411.0
05652510,40.38,40.17,2009-07-16,BMI,BADGER METER INC,3824.0,411.0
05652510,38.5,35.93,2009-07-17,BMI,BADGER METER INC,3824.0,411.0
05652510,38.19,38.5,2009-07-20,BMI,BADGER METER INC,3824.0,411.0
05652510,38.06,38.25,2009-07-21,BMI,BADGER METER INC,3824.0,411.0
05652510,37.11,37.69,2009-07-22,BMI,BADGER METER INC,3824.0,411.0
05652510,38.03,36.9,2009-07-23,BMI,BADGER METER INC,3824.0,411.0
05652510,38.44,37.81,2009-07-24,BMI,BADGER METER INC,3824.0,411.0
05652510,38.33,38.5,2009-07-27,BMI,BADGER METER INC,3824.0,411.0
05652510,37.65,38.18,2009-07-28,BMI,BADGER METER INC,3824.0,411.0
05652510,37.21,37.52,2009-07-29,BMI,BADGER METER INC,3824.0,411.0
05652510,37.22,37.66,2009-07-30,BMI,BADGER METER INC,3824.0,411.0
05652510,36.85,37.18,2009-07-31,BMI,BADGER METER INC,3824.0,411.0
05652510,37.41,36.85,2009-08-03,BMI,BADGER METER INC,3824.0,411.0
05652510,37.89,37.24,2009-08-04,BMI,BADGER METER INC,3824.0,411.0
05652510,37.37,38.02,2009-08-05,BMI,BADGER METER INC,3824.0,411.0
05652510,37.14,37.37,2009-08-06,BMI,BADGER METER INC,3824.0,411.0
05652510,37.43,37.8,2009-08-07,BMI,BADGER METER INC,3824.0,411.0
05652510,38.88,37.43,2009-08-10,BMI,BADGER METER INC,3824.0,411.0
05652510,38.06,38.88,2009-08-11,BMI,BADGER METER INC,3824.0,411.0
05652510,38.76,38.06,2009-08-12,BMI,BADGER METER INC,3824.0,411.0
05652510,39.11,38.65,2009-08-13,BMI,BADGER METER INC,3824.0,411.0
05652510,38.16,38.93,2009-08-14,BMI,BADGER METER INC,3824.0,411.0
05652510,37.66,37.35,2009-08-17,BMI,BADGER METER INC,3824.0,411.0
05652510,37.68,37.77,2009-08-18,BMI,BADGER METER INC,3824.0,411.0
05652510,38.53,37.36,2009-08-19,BMI,BADGER METER INC,3824.0,411.0
05652510,38.63,38.53,2009-08-20,BMI,BADGER METER INC,3824.0,411.0
05652510,40.01,39.06,2009-08-21,BMI,BADGER METER INC,3824.0,411.0
05652510,38.66,39.99,2009-08-24,BMI,BADGER METER INC,3824.0,411.0
05652510,37.25,38.89,2009-08-25,BMI,BADGER METER INC,3824.0,411.0
