cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
12660010,11.62,11.95,2009-01-02,CVBF,C V B FINANCIAL CORP,6022.0,364.0
12660010,10.92,11.64,2009-01-05,CVBF,C V B FINANCIAL CORP,6022.0,364.0
12660010,11.15,11.03,2009-01-06,CVBF,C V B FINANCIAL CORP,6022.0,364.0
12660010,10.93,11.02,2009-01-07,CVBF,C V B FINANCIAL CORP,6022.0,364.0
12660010,10.9,10.5,2009-01-08,CVBF,C V B FINANCIAL CORP,6022.0,364.0
12660010,10.45,10.87,2009-01-09,CVBF,C V B FINANCIAL CORP,6022.0,364.0
12660010,10.04,10.45,2009-01-12,CVBF,C V B FINANCIAL CORP,6022.0,364.0
12660010,9.94,9.95,2009-01-13,CVBF,C V B FINANCIAL CORP,6022.0,364.0
12660010,9.29,9.81,2009-01-14,CVBF,C V B FINANCIAL CORP,6022.0,364.0
12660010,9.15,9.31,2009-01-15,CVBF,C V B FINANCIAL CORP,6022.0,364.0
12660010,8.79,9.01,2009-01-16,CVBF,C V B FINANCIAL CORP,6022.0,364.0
12660010,8.02,8.93,2009-01-20,CVBF,C V B FINANCIAL CORP,6022.0,364.0
12660010,8.41,8.12,2009-01-21,CVBF,C V B FINANCIAL CORP,6022.0,364.0
12660010,8.32,8.22,2009-01-22,CVBF,C V B FINANCIAL CORP,6022.0,364.0
12660010,8.77,8.23,2009-01-23,CVBF,C V B FINANCIAL CORP,6022.0,364.0
12660010,8.86,8.83,2009-01-26,CVBF,C V B FINANCIAL CORP,6022.0,364.0
12660010,9.05,8.87,2009-01-27,CVBF,C V B FINANCIAL CORP,6022.0,364.0
12660010,9.81,9.26,2009-01-28,CVBF,C V B FINANCIAL CORP,6022.0,364.0
12660010,9.26,9.7,2009-01-29,CVBF,C V B FINANCIAL CORP,6022.0,364.0
12660010,8.99,9.13,2009-01-30,CVBF,C V B FINANCIAL CORP,6022.0,364.0
12660010,9.0,8.83,2009-02-02,CVBF,C V B FINANCIAL CORP,6022.0,364.0
12660010,8.88,8.77,2009-02-03,CVBF,C V B FINANCIAL CORP,6022.0,364.0
12660010,8.95,8.91,2009-02-04,CVBF,C V B FINANCIAL CORP,6022.0,364.0
12660010,9.2,8.86,2009-02-05,CVBF,C V B FINANCIAL CORP,6022.0,364.0
12660010,9.85,9.16,2009-02-06,CVBF,C V B FINANCIAL CORP,6022.0,364.0
12660010,9.91,9.76,2009-02-09,CVBF,C V B FINANCIAL CORP,6022.0,364.0
12660010,8.93,9.9,2009-02-10,CVBF,C V B FINANCIAL CORP,6022.0,364.0
12660010,9.2,8.63,2009-02-11,CVBF,C V B FINANCIAL CORP,6022.0,364.0
12660010,9.12,9.04,2009-02-12,CVBF,C V B FINANCIAL CORP,6022.0,364.0
12660010,8.77,9.1,2009-02-13,CVBF,C V B FINANCIAL CORP,6022.0,364.0
12660010,8.04,8.64,2009-02-17,CVBF,C V B FINANCIAL CORP,6022.0,364.0
12660010,7.89,8.04,2009-02-18,CVBF,C V B FINANCIAL CORP,6022.0,364.0
12660010,7.65,8.03,2009-02-19,CVBF,C V B FINANCIAL CORP,6022.0,364.0
12660010,7.52,7.53,2009-02-20,CVBF,C V B FINANCIAL CORP,6022.0,364.0
