cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
89416410,7.56,6.58,2009-01-02,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,8.1,7.5,2009-01-05,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,8.71,8.23,2009-01-06,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,7.6,8.5,2009-01-07,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,7.82,7.57,2009-01-08,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,7.45,7.86,2009-01-09,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,6.7,7.44,2009-01-12,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,6.87,6.69,2009-01-13,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,6.31,6.68,2009-01-14,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,6.85,6.22,2009-01-15,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,7.1,6.98,2009-01-16,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,6.08,7.05,2009-01-20,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,6.86,6.11,2009-01-21,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,6.74,6.54,2009-01-22,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,6.54,6.0,2009-01-23,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,6.88,6.66,2009-01-26,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,6.68,6.96,2009-01-27,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,7.1,6.9,2009-01-28,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,6.49,6.96,2009-01-29,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,6.13,6.46,2009-01-30,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,5.84,5.92,2009-02-02,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,5.9,5.87,2009-02-03,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,5.66,5.94,2009-02-04,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,5.85,5.64,2009-02-05,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,6.23,5.89,2009-02-06,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,6.17,6.24,2009-02-09,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,5.76,6.06,2009-02-10,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,5.79,5.79,2009-02-11,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,5.94,5.38,2009-02-12,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,4.18,6.3,2009-02-13,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,4.46,4.5,2009-02-17,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,3.94,4.6,2009-02-18,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,3.86,4.0,2009-02-19,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,3.59,3.76,2009-02-20,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,3.36,3.66,2009-02-23,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,3.51,3.4,2009-02-24,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,3.42,3.49,2009-02-25,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,3.57,3.45,2009-02-26,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,3.69,3.41,2009-02-27,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,3.2,3.58,2009-03-02,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,3.09,3.22,2009-03-03,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,3.37,3.23,2009-03-04,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,3.02,3.34,2009-03-05,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,2.92,3.07,2009-03-06,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,3.1,2.95,2009-03-09,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,3.67,3.21,2009-03-10,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,3.91,3.73,2009-03-11,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,4.22,3.89,2009-03-12,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,4.18,4.27,2009-03-13,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,4.04,4.23,2009-03-16,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,4.19,4.05,2009-03-17,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,4.37,4.13,2009-03-18,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,4.22,4.47,2009-03-19,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,4.03,4.23,2009-03-20,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,4.68,4.16,2009-03-23,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,4.47,4.48,2009-03-24,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,4.22,4.54,2009-03-25,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,4.42,4.3,2009-03-26,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,4.42,4.24,2009-03-27,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,4.15,4.21,2009-03-30,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,4.2,4.32,2009-03-31,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,4.75,4.11,2009-04-01,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,5.68,4.67,2009-04-02,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,6.1,5.68,2009-04-03,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,6.08,5.98,2009-04-06,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,5.72,5.89,2009-04-07,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,6.33,5.83,2009-04-08,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,7.2,6.6,2009-04-09,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,7.42,7.0,2009-04-13,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,7.47,7.3,2009-04-14,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,7.84,7.42,2009-04-15,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,8.39,7.83,2009-04-16,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,8.92,8.27,2009-04-17,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,7.69,8.56,2009-04-20,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,8.28,7.67,2009-04-21,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,8.49,7.88,2009-04-22,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,9.56,8.59,2009-04-23,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,10.11,9.29,2009-04-24,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,8.96,9.51,2009-04-27,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,8.76,8.75,2009-04-28,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,11.86,9.5,2009-04-29,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,11.68,11.85,2009-04-30,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,12.12,11.51,2009-05-01,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,12.76,11.88,2009-05-04,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,12.89,12.7,2009-05-05,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,12.57,13.0,2009-05-06,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,12.31,12.86,2009-05-07,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,12.9,12.55,2009-05-08,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,12.2,12.61,2009-05-11,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,11.82,12.42,2009-05-12,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,10.61,11.26,2009-05-13,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,10.6,10.47,2009-05-14,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,10.54,10.59,2009-05-15,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,11.19,10.71,2009-05-18,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,11.43,11.33,2009-05-19,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,11.13,11.58,2009-05-20,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,10.9,10.91,2009-05-21,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,10.79,10.9,2009-05-22,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,11.73,10.63,2009-05-26,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,11.06,11.78,2009-05-27,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,11.28,11.26,2009-05-28,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,11.79,11.35,2009-05-29,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,12.44,12.04,2009-06-01,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,12.53,12.35,2009-06-02,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,11.96,12.3,2009-06-03,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,12.55,12.68,2009-06-04,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,12.45,12.76,2009-06-05,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,12.23,12.18,2009-06-08,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,12.39,12.25,2009-06-09,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,12.39,12.51,2009-06-10,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,12.1,12.4,2009-06-11,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,11.99,11.99,2009-06-12,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,11.34,11.63,2009-06-15,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,11.49,11.4,2009-06-16,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,11.6,11.48,2009-06-17,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,11.2,11.6,2009-06-18,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,12.3,11.53,2009-06-19,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,11.44,12.13,2009-06-22,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,11.58,11.5425,2009-06-23,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,11.65,11.74,2009-06-24,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,12.09,11.49,2009-06-25,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,11.93,12.09,2009-06-26,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,12.41,12.19,2009-06-29,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,12.12,12.48,2009-06-30,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,12.21,12.07,2009-07-01,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,11.68,11.83,2009-07-02,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,11.02,11.49,2009-07-06,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,10.65,11.02,2009-07-07,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,10.51,10.69,2009-07-08,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,10.84,10.74,2009-07-09,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,10.64,10.68,2009-07-10,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,11.21,10.65,2009-07-13,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,11.46,11.23,2009-07-14,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,11.78,11.66,2009-07-15,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,11.94,11.41,2009-07-16,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,11.69,11.87,2009-07-17,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,12.17,11.85,2009-07-20,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,12.1,12.17,2009-07-21,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,11.79,11.94,2009-07-22,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,12.01,11.85,2009-07-23,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,12.7,11.91,2009-07-24,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,12.84,12.82,2009-07-27,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,12.67,12.7,2009-07-28,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,13.01,12.8,2009-07-29,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,13.75,13.25,2009-07-30,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,13.95,13.73,2009-07-31,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,14.24,14.24,2009-08-03,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,14.63,14.14,2009-08-04,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,14.74,14.65,2009-08-05,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,14.39,14.85,2009-08-06,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,15.56,14.59,2009-08-07,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,15.21,15.47,2009-08-10,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,15.11,15.03,2009-08-11,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,15.4,15.04,2009-08-12,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,15.78,15.55,2009-08-13,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,15.46,15.78,2009-08-14,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,14.55,15.0,2009-08-17,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,15.24,14.7,2009-08-18,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,15.28,15.02,2009-08-19,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,15.86,15.24,2009-08-20,TNL,TRAVEL & LEISURE CO,7011.0,213.0
89416410,16.31,15.92,2009-08-21,TNL,TRAVEL & LEISURE CO,7011.0,213.0
