cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
44951W10,11.68,8.71,2009-01-02,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,11.95,11.45,2009-01-05,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,13.39,12.07,2009-01-06,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,12.08,13.01,2009-01-07,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,11.46,11.28,2009-01-08,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,10.95,11.43,2009-01-09,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,10.27,10.95,2009-01-12,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,9.56,10.03,2009-01-13,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,8.25,9.29,2009-01-14,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,8.52,8.25,2009-01-15,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,8.98,8.98,2009-01-16,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,7.91,8.81,2009-01-20,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,9.45,8.12,2009-01-21,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,8.26,9.02,2009-01-22,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,8.2,7.87,2009-01-23,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,8.79,8.2,2009-01-26,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,8.97,8.82,2009-01-27,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,9.56,9.25,2009-01-28,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,8.91,9.63,2009-01-29,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,8.27,9.04,2009-01-30,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,10.5,8.1,2009-02-02,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,10.55,10.68,2009-02-03,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,10.05,10.53,2009-02-04,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,11.03,10.08,2009-02-05,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,10.81,11.16,2009-02-06,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,10.4,10.59,2009-02-09,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,8.03,10.34,2009-02-10,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,8.0,8.12,2009-02-11,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,8.33,7.8,2009-02-12,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,8.5,8.32,2009-02-13,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,7.98,8.02,2009-02-17,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,8.0,8.0,2009-02-18,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,7.97,8.18,2009-02-19,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,7.91,7.77,2009-02-20,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,7.8,8.0,2009-02-23,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,8.35,7.95,2009-02-24,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,7.91,8.28,2009-02-25,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,7.85,8.01,2009-02-26,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,7.69,7.62,2009-02-27,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,7.62,7.53,2009-03-02,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,7.69,7.86,2009-03-03,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,7.93,7.9,2009-03-04,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,7.75,7.65,2009-03-05,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,7.9,7.7,2009-03-06,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,7.74,7.74,2009-03-09,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,8.44,8.04,2009-03-10,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,7.86,8.5,2009-03-11,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,8.3,7.79,2009-03-12,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,8.51,8.37,2009-03-13,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,8.17,8.68,2009-03-16,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,8.53,8.14,2009-03-17,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,8.01,8.49,2009-03-18,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,7.99,8.21,2009-03-19,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,7.83,8.12,2009-03-20,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,8.5,7.99,2009-03-23,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,7.76,8.31,2009-03-24,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,8.76,7.9,2009-03-25,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,9.49,8.94,2009-03-26,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,8.91,9.19,2009-03-27,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,9.25,8.99,2009-03-30,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,9.12,9.48,2009-03-31,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,9.3,8.86,2009-04-01,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,10.5,9.63,2009-04-02,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,10.42,10.43,2009-04-03,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,10.33,9.89,2009-04-06,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,10.1,10.05,2009-04-07,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,10.38,10.28,2009-04-08,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,10.58,10.81,2009-04-09,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,10.47,10.33,2009-04-13,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,9.49,10.19,2009-04-14,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,8.99,9.7,2009-04-15,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,9.49,9.16,2009-04-16,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,9.31,9.52,2009-04-17,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,8.9,8.93,2009-04-20,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,9.25,8.84,2009-04-21,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,9.48,8.84,2009-04-22,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,8.63,9.37,2009-04-23,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,9.15,9.84,2009-04-24,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,9.29,8.86,2009-04-27,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,9.39,8.8,2009-04-28,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,9.73,9.5,2009-04-29,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,9.61,9.75,2009-04-30,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,9.2,9.6,2009-05-01,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,10.29,9.38,2009-05-04,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,10.18,10.03,2009-05-05,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,10.16,10.33,2009-05-06,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,9.3,10.35,2009-05-07,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,10.67,9.58,2009-05-08,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,10.56,10.31,2009-05-11,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,10.35,10.64,2009-05-12,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,9.69,10.12,2009-05-13,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,9.79,9.79,2009-05-14,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,9.14,9.91,2009-05-15,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,10.11,9.31,2009-05-18,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,9.7,10.57,2009-05-19,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,9.78,9.84,2009-05-20,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,9.22,9.61,2009-05-21,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,8.76,9.29,2009-05-22,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,9.4,8.66,2009-05-26,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,9.76,9.31,2009-05-27,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,9.41,9.92,2009-05-28,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,9.86,9.49,2009-05-29,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,10.08,10.0,2009-06-01,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,10.06,10.03,2009-06-02,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,9.41,9.95,2009-06-03,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,10.18,9.7,2009-06-04,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,10.11,10.3,2009-06-05,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,9.93,10.055,2009-06-08,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,9.9,10.19,2009-06-09,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,9.53,10.01,2009-06-10,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,9.72,9.7,2009-06-11,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,10.15,9.67,2009-06-12,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,8.39,9.8,2009-06-15,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,8.35,8.5,2009-06-16,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,8.29,8.33,2009-06-17,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,8.44,8.3,2009-06-18,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,8.1,8.66,2009-06-19,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,7.64,8.04,2009-06-22,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,7.59,7.76,2009-06-23,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,6.93,7.81,2009-06-24,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,7.01,6.93,2009-06-25,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,6.17,6.94,2009-06-26,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,7.02,6.4,2009-06-29,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,7.81,7.01,2009-06-30,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,7.64,7.92,2009-07-01,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,6.94,7.45,2009-07-02,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,6.85,6.91,2009-07-06,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,6.54,6.83,2009-07-07,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,6.81,6.61,2009-07-08,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,6.44,6.81,2009-07-09,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,6.8,6.54,2009-07-10,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,7.18,6.84,2009-07-13,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,7.26,7.15,2009-07-14,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,7.74,7.43,2009-07-15,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,8.02,7.49,2009-07-16,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,7.74,8.04,2009-07-17,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,8.77,7.9,2009-07-20,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,8.59,8.88,2009-07-21,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,8.51,8.55,2009-07-22,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,9.22,8.46,2009-07-23,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,9.26,9.07,2009-07-24,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,9.01,9.28,2009-07-27,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,9.97,8.93,2009-07-28,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,9.9,9.32,2009-07-29,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,9.95,10.0,2009-07-30,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,9.15,9.85,2009-07-31,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,9.28,9.45,2009-08-03,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,8.7,9.15,2009-08-04,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,8.2,8.7,2009-08-05,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,8.38,8.25,2009-08-06,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,8.75,8.64,2009-08-07,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,8.51,8.63,2009-08-10,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,8.35,8.72,2009-08-11,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,9.18,8.86,2009-08-12,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,9.08,9.24,2009-08-13,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,8.56,9.16,2009-08-14,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,8.8,8.28,2009-08-17,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,8.76,8.85,2009-08-18,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,8.65,8.1116,2009-08-19,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,8.7,8.59,2009-08-20,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,9.27,8.96,2009-08-21,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,9.16,9.29,2009-08-24,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,8.97,9.27,2009-08-25,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,9.0,9.22,2009-08-26,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,8.7549,9.14,2009-08-27,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,8.97,8.97,2009-08-28,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,8.34,8.88,2009-08-31,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,8.05,8.35,2009-09-01,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,8.11,8.22,2009-09-02,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,8.31,8.34,2009-09-03,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,8.13,8.27,2009-09-04,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,8.0,8.13,2009-09-08,IESC,I E S HOLDINGS INC,1731.0,261.0
44951W10,8.0,7.98,2009-09-09,IESC,I E S HOLDINGS INC,1731.0,261.0
