cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
09180C10,11.32,10.8,2009-01-02,BJRI,BJS RESTAURANTS INC,5810.0,235.0
09180C10,11.59,11.29,2009-01-05,BJRI,BJS RESTAURANTS INC,5810.0,235.0
09180C10,11.76,11.51,2009-01-06,BJRI,BJS RESTAURANTS INC,5810.0,235.0
09180C10,10.91,11.65,2009-01-07,BJRI,BJS RESTAURANTS INC,5810.0,235.0
09180C10,11.04,10.89,2009-01-08,BJRI,BJS RESTAURANTS INC,5810.0,235.0
09180C10,10.14,10.78,2009-01-09,BJRI,BJS RESTAURANTS INC,5810.0,235.0
09180C10,10.13,10.11,2009-01-12,BJRI,BJS RESTAURANTS INC,5810.0,235.0
09180C10,9.79,10.15,2009-01-13,BJRI,BJS RESTAURANTS INC,5810.0,235.0
09180C10,9.1,9.75,2009-01-14,BJRI,BJS RESTAURANTS INC,5810.0,235.0
09180C10,9.37,9.1,2009-01-15,BJRI,BJS RESTAURANTS INC,5810.0,235.0
09180C10,9.44,9.48,2009-01-16,BJRI,BJS RESTAURANTS INC,5810.0,235.0
09180C10,9.5,9.32,2009-01-20,BJRI,BJS RESTAURANTS INC,5810.0,235.0
09180C10,10.28,9.56,2009-01-21,BJRI,BJS RESTAURANTS INC,5810.0,235.0
09180C10,10.42,10.1,2009-01-22,BJRI,BJS RESTAURANTS INC,5810.0,235.0
09180C10,10.21,10.29,2009-01-23,BJRI,BJS RESTAURANTS INC,5810.0,235.0
09180C10,10.96,10.26,2009-01-26,BJRI,BJS RESTAURANTS INC,5810.0,235.0
09180C10,11.0,10.98,2009-01-27,BJRI,BJS RESTAURANTS INC,5810.0,235.0
09180C10,11.21,11.14,2009-01-28,BJRI,BJS RESTAURANTS INC,5810.0,235.0
09180C10,11.03,11.0,2009-01-29,BJRI,BJS RESTAURANTS INC,5810.0,235.0
09180C10,11.1,11.05,2009-01-30,BJRI,BJS RESTAURANTS INC,5810.0,235.0
09180C10,11.22,11.03,2009-02-02,BJRI,BJS RESTAURANTS INC,5810.0,235.0
09180C10,11.05,11.3,2009-02-03,BJRI,BJS RESTAURANTS INC,5810.0,235.0
09180C10,11.39,11.09,2009-02-04,BJRI,BJS RESTAURANTS INC,5810.0,235.0
09180C10,11.51,11.38,2009-02-05,BJRI,BJS RESTAURANTS INC,5810.0,235.0
09180C10,11.5,11.48,2009-02-06,BJRI,BJS RESTAURANTS INC,5810.0,235.0
09180C10,11.27,11.47,2009-02-09,BJRI,BJS RESTAURANTS INC,5810.0,235.0
09180C10,10.74,11.27,2009-02-10,BJRI,BJS RESTAURANTS INC,5810.0,235.0
09180C10,10.58,10.72,2009-02-11,BJRI,BJS RESTAURANTS INC,5810.0,235.0
09180C10,10.38,10.73,2009-02-12,BJRI,BJS RESTAURANTS INC,5810.0,235.0
09180C10,12.16,11.0,2009-02-13,BJRI,BJS RESTAURANTS INC,5810.0,235.0
09180C10,11.68,11.64,2009-02-17,BJRI,BJS RESTAURANTS INC,5810.0,235.0
