cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
83368E20,,,2012-08-27,SCKT,SOCKET MOBILE INC,3571.0,181.0
83368E20,,,2012-08-28,SCKT,SOCKET MOBILE INC,3571.0,181.0
83368E20,,,2012-08-29,SCKT,SOCKET MOBILE INC,3571.0,181.0
83368E20,,,2012-08-30,SCKT,SOCKET MOBILE INC,3571.0,181.0
83368E20,,,2012-08-31,SCKT,SOCKET MOBILE INC,3571.0,181.0
83368E20,,,2012-09-04,SCKT,SOCKET MOBILE INC,3571.0,181.0
83368E20,,,2012-09-05,SCKT,SOCKET MOBILE INC,3571.0,181.0
83368E20,,,2012-09-06,SCKT,SOCKET MOBILE INC,3571.0,181.0
83368E20,,,2012-09-07,SCKT,SOCKET MOBILE INC,3571.0,181.0
83368E20,,,2012-09-10,SCKT,SOCKET MOBILE INC,3571.0,181.0
83368E20,,,2012-09-11,SCKT,SOCKET MOBILE INC,3571.0,181.0
83368E20,,,2012-09-12,SCKT,SOCKET MOBILE INC,3571.0,181.0
83368E20,,,2012-09-13,SCKT,SOCKET MOBILE INC,3571.0,181.0
83368E20,,,2012-09-14,SCKT,SOCKET MOBILE INC,3571.0,181.0
83368E20,,,2012-09-17,SCKT,SOCKET MOBILE INC,3571.0,181.0
83368E20,,,2012-09-18,SCKT,SOCKET MOBILE INC,3571.0,181.0
83368E20,,,2012-09-19,SCKT,SOCKET MOBILE INC,3571.0,181.0
83368E20,,,2012-09-20,SCKT,SOCKET MOBILE INC,3571.0,181.0
83368E20,,,2012-09-21,SCKT,SOCKET MOBILE INC,3571.0,181.0
83368E20,1.9799,1.9699,2009-01-02,SCKT,SOCKET MOBILE INC,3571.0,181.0
83368E20,2.38,2.01,2009-01-05,SCKT,SOCKET MOBILE INC,3571.0,181.0
83368E20,2.6078,2.3899,2009-01-06,SCKT,SOCKET MOBILE INC,3571.0,181.0
83368E20,2.64,2.2201,2009-01-07,SCKT,SOCKET MOBILE INC,3571.0,181.0
83368E20,2.3398,2.36,2009-01-08,SCKT,SOCKET MOBILE INC,3571.0,181.0
83368E20,2.52,2.4561,2009-01-09,SCKT,SOCKET MOBILE INC,3571.0,181.0
83368E20,-2.395,,2009-01-12,SCKT,SOCKET MOBILE INC,3571.0,181.0
83368E20,2.64,2.38,2009-01-13,SCKT,SOCKET MOBILE INC,3571.0,181.0
83368E20,2.59,2.31,2009-01-14,SCKT,SOCKET MOBILE INC,3571.0,181.0
83368E20,2.59,2.12,2009-01-15,SCKT,SOCKET MOBILE INC,3571.0,181.0
83368E20,2.45,2.24,2009-01-16,SCKT,SOCKET MOBILE INC,3571.0,181.0
83368E20,2.47,2.476,2009-01-20,SCKT,SOCKET MOBILE INC,3571.0,181.0
83368E20,2.4999,2.14,2009-01-21,SCKT,SOCKET MOBILE INC,3571.0,181.0
83368E20,2.38,2.15,2009-01-22,SCKT,SOCKET MOBILE INC,3571.0,181.0
83368E20,2.4999,2.14,2009-01-23,SCKT,SOCKET MOBILE INC,3571.0,181.0
83368E20,2.83,2.49,2009-01-26,SCKT,SOCKET MOBILE INC,3571.0,181.0
83368E20,2.8001,2.33,2009-01-27,SCKT,SOCKET MOBILE INC,3571.0,181.0
83368E20,2.84,2.334,2009-01-28,SCKT,SOCKET MOBILE INC,3571.0,181.0
83368E20,2.79,2.37,2009-01-29,SCKT,SOCKET MOBILE INC,3571.0,181.0
83368E20,3.01,2.85,2009-01-30,SCKT,SOCKET MOBILE INC,3571.0,181.0
83368E20,3.15,2.99,2009-02-02,SCKT,SOCKET MOBILE INC,3571.0,181.0
83368E20,3.08,3.33,2009-02-03,SCKT,SOCKET MOBILE INC,3571.0,181.0
83368E20,,,2012-09-24,SCKT,SOCKET MOBILE INC,3571.0,181.0
83368E20,3.3,3.2061,2009-02-04,SCKT,SOCKET MOBILE INC,3571.0,181.0
83368E20,3.466,3.506,2009-02-05,SCKT,SOCKET MOBILE INC,3571.0,181.0
83368E20,3.27,3.51,2009-02-06,SCKT,SOCKET MOBILE INC,3571.0,181.0
83368E20,2.96,2.45,2009-02-09,SCKT,SOCKET MOBILE INC,3571.0,181.0
83368E20,3.3,3.306,2009-02-10,SCKT,SOCKET MOBILE INC,3571.0,181.0
83368E20,3.4561,3.25,2009-02-11,SCKT,SOCKET MOBILE INC,3571.0,181.0
83368E20,3.49,3.4,2009-02-12,SCKT,SOCKET MOBILE INC,3571.0,181.0
83368E20,3.5,3.5,2009-02-13,SCKT,SOCKET MOBILE INC,3571.0,181.0
83368E20,3.266,3.15,2009-02-17,SCKT,SOCKET MOBILE INC,3571.0,181.0
83368E20,3.45,3.01,2009-02-18,SCKT,SOCKET MOBILE INC,3571.0,181.0
83368E20,2.4697,3.43,2009-02-19,SCKT,SOCKET MOBILE INC,3571.0,181.0
83368E20,2.3501,2.4745,2009-02-20,SCKT,SOCKET MOBILE INC,3571.0,181.0
83368E20,1.96,2.64,2009-02-23,SCKT,SOCKET MOBILE INC,3571.0,181.0
83368E20,1.73,1.71,2009-02-24,SCKT,SOCKET MOBILE INC,3571.0,181.0
83368E20,1.61,1.7,2009-02-25,SCKT,SOCKET MOBILE INC,3571.0,181.0
83368E20,1.72,1.67,2009-02-26,SCKT,SOCKET MOBILE INC,3571.0,181.0
83368E20,2.0,1.7501,2009-02-27,SCKT,SOCKET MOBILE INC,3571.0,181.0
83368E20,2.17,2.0,2009-03-02,SCKT,SOCKET MOBILE INC,3571.0,181.0
83368E20,2.2378,2.596,2009-03-03,SCKT,SOCKET MOBILE INC,3571.0,181.0
83368E20,2.56,2.346,2009-03-04,SCKT,SOCKET MOBILE INC,3571.0,181.0
83368E20,2.496,2.08,2009-03-05,SCKT,SOCKET MOBILE INC,3571.0,181.0
83368E20,2.1661,2.1,2009-03-06,SCKT,SOCKET MOBILE INC,3571.0,181.0
83368E20,1.75,2.01,2009-03-09,SCKT,SOCKET MOBILE INC,3571.0,181.0
83368E20,1.61,1.72,2009-03-10,SCKT,SOCKET MOBILE INC,3571.0,181.0
83368E20,1.66,1.68,2009-03-11,SCKT,SOCKET MOBILE INC,3571.0,181.0
83368E20,1.66,1.66,2009-03-12,SCKT,SOCKET MOBILE INC,3571.0,181.0
83368E20,1.6399,1.32,2009-03-13,SCKT,SOCKET MOBILE INC,3571.0,181.0
83368E20,1.5999,1.6,2009-03-16,SCKT,SOCKET MOBILE INC,3571.0,181.0
83368E20,1.65,1.42,2009-03-17,SCKT,SOCKET MOBILE INC,3571.0,181.0
83368E20,1.72,1.7399,2009-03-18,SCKT,SOCKET MOBILE INC,3571.0,181.0
83368E20,1.98,1.799,2009-03-19,SCKT,SOCKET MOBILE INC,3571.0,181.0
83368E20,1.7101,1.9399,2009-03-20,SCKT,SOCKET MOBILE INC,3571.0,181.0
83368E20,1.836,1.836,2009-03-23,SCKT,SOCKET MOBILE INC,3571.0,181.0
