cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
45833410,7.65,7.71,2009-01-02,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,7.67,7.63,2009-01-05,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,8.33,7.73,2009-01-06,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,7.59,8.15,2009-01-07,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,8.25,7.35,2009-01-08,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,7.25,8.25,2009-01-09,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,7.02,7.21,2009-01-12,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,7.29,7.02,2009-01-13,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,6.48,7.14,2009-01-14,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,6.21,6.48,2009-01-15,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,5.59,6.11,2009-01-16,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,4.87,5.47,2009-01-20,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,5.15,4.95,2009-01-21,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,5.08,5.01,2009-01-22,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,5.6,5.0,2009-01-23,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,5.96,5.65,2009-01-26,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,6.37,5.96,2009-01-27,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,7.16,6.48,2009-01-28,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,5.79,6.75,2009-01-29,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,6.04,5.85,2009-01-30,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,6.44,5.95,2009-02-02,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,6.95,6.57,2009-02-03,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,6.82,6.97,2009-02-04,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,6.7,6.65,2009-02-05,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,6.72,6.62,2009-02-06,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,6.4,6.61,2009-02-09,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,6.01,6.37,2009-02-10,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,6.18,6.03,2009-02-11,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,6.84,6.03,2009-02-12,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,6.92,6.83,2009-02-13,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,6.15,6.73,2009-02-17,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,6.02,6.23,2009-02-18,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,6.31,6.12,2009-02-19,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,6.19,6.19,2009-02-20,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,5.68,6.24,2009-02-23,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,5.64,5.77,2009-02-24,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,5.71,5.64,2009-02-25,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,5.82,5.76,2009-02-26,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,5.46,5.69,2009-02-27,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,5.1,5.26,2009-03-02,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,4.79,5.2,2009-03-03,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,4.83,4.89,2009-03-04,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,3.94,4.69,2009-03-05,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,4.19,3.99,2009-03-06,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,3.65,4.12,2009-03-09,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,3.72,3.75,2009-03-10,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,3.72,3.82,2009-03-11,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,3.91,3.64,2009-03-12,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,4.4,3.93,2009-03-13,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,4.49,4.47,2009-03-16,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,5.16,4.55,2009-03-17,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,5.26,5.14,2009-03-18,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,5.5,5.34,2009-03-19,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,5.48,5.57,2009-03-20,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,6.49,5.69,2009-03-23,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,5.81,6.34,2009-03-24,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,6.1,5.99,2009-03-25,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,6.37,6.2,2009-03-26,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,5.62,6.2,2009-03-27,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,5.6,5.43,2009-03-30,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,5.83,5.71,2009-03-31,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,6.02,5.73,2009-04-01,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,6.65,6.27,2009-04-02,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,6.28,6.65,2009-04-03,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,5.96,6.15,2009-04-06,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,5.65,5.82,2009-04-07,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,6.05,5.69,2009-04-08,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,7.23,6.26,2009-04-09,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,6.48,7.13,2009-04-13,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,6.05,6.33,2009-04-14,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,6.22,6.01,2009-04-15,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,6.52,6.3,2009-04-16,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,6.44,6.56,2009-04-17,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,6.15,6.28,2009-04-20,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,6.5,6.14,2009-04-21,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,6.35,6.38,2009-04-22,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,6.32,6.35,2009-04-23,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,7.48,6.5,2009-04-24,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,7.44,7.35,2009-04-27,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,7.65,7.34,2009-04-28,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,8.39,7.7,2009-04-29,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,7.76,8.49,2009-04-30,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,7.83,7.64,2009-05-01,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,8.73,7.85,2009-05-04,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,8.56,8.7,2009-05-05,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,8.88,8.71,2009-05-06,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,8.03,9.05,2009-05-07,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,8.33,8.22,2009-05-08,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,8.42,8.14,2009-05-11,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,8.26,8.79,2009-05-12,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,7.95,8.06,2009-05-13,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,7.98,8.03,2009-05-14,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,7.85,8.0,2009-05-15,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,7.98,7.98,2009-05-18,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,7.88,8.0,2009-05-19,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,7.87,7.95,2009-05-20,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,7.6,7.75,2009-05-21,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,7.82,7.65,2009-05-22,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,8.99,7.74,2009-05-26,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,8.31,8.81,2009-05-27,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,8.64,8.43,2009-05-28,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,8.39,8.71,2009-05-29,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,9.04,8.59,2009-06-01,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,8.63,9.0,2009-06-02,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,8.38,8.5,2009-06-03,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,8.51,8.48,2009-06-04,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,8.41,8.58,2009-06-05,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,8.3,8.28,2009-06-08,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,8.36,8.34,2009-06-09,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,8.69,9.02,2009-06-10,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,8.8,8.69,2009-06-11,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,8.75,8.8,2009-06-12,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,8.3,8.65,2009-06-15,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,8.29,8.44,2009-06-16,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,8.35,8.09,2009-06-17,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,8.51,8.55,2009-06-18,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,8.27,8.7,2009-06-19,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,7.68,8.175,2009-06-22,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,7.18,7.7,2009-06-23,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,7.1,7.29,2009-06-24,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,7.99,7.04,2009-06-25,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,7.17,7.88,2009-06-26,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,7.41,7.17,2009-06-29,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,7.34,7.43,2009-06-30,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,7.16,7.29,2009-07-01,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,7.09,7.0,2009-07-02,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,7.27,7.02,2009-07-06,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,7.02,7.25,2009-07-07,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,7.29,7.09,2009-07-08,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,6.98,7.38,2009-07-09,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,6.99,6.97,2009-07-10,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,7.07,7.01,2009-07-13,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,7.05,7.13,2009-07-14,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,7.52,7.16,2009-07-15,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,7.56,7.44,2009-07-16,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,7.57,7.58,2009-07-17,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,7.56,7.61,2009-07-20,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
45833410,7.57,7.61,2009-07-21,IPAR,INTERMEDIATE PARFUMS INC,5120.0,269.0
