cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
28523310,3.24,3.59,2009-01-02,ELSE,ELECTRO SENSORS INC,3825.0,282.0
28523310,3.05,3.2,2009-01-05,ELSE,ELECTRO SENSORS INC,3825.0,282.0
28523310,-3.125,,2009-01-06,ELSE,ELECTRO SENSORS INC,3825.0,282.0
28523310,-3.21,,2009-01-07,ELSE,ELECTRO SENSORS INC,3825.0,282.0
28523310,3.0,3.05,2009-01-08,ELSE,ELECTRO SENSORS INC,3825.0,282.0
28523310,-3.125,,2009-01-09,ELSE,ELECTRO SENSORS INC,3825.0,282.0
28523310,2.83,3.33,2009-01-12,ELSE,ELECTRO SENSORS INC,3825.0,282.0
28523310,2.83,2.83,2009-01-13,ELSE,ELECTRO SENSORS INC,3825.0,282.0
28523310,-2.925,,2009-01-14,ELSE,ELECTRO SENSORS INC,3825.0,282.0
28523310,2.8,2.85,2009-01-15,ELSE,ELECTRO SENSORS INC,3825.0,282.0
28523310,2.68,2.71,2009-01-16,ELSE,ELECTRO SENSORS INC,3825.0,282.0
28523310,-2.85,,2009-01-20,ELSE,ELECTRO SENSORS INC,3825.0,282.0
28523310,2.6,2.7,2009-01-21,ELSE,ELECTRO SENSORS INC,3825.0,282.0
28523310,-2.83,,2009-01-22,ELSE,ELECTRO SENSORS INC,3825.0,282.0
28523310,2.59,2.61,2009-01-23,ELSE,ELECTRO SENSORS INC,3825.0,282.0
28523310,2.5,2.45,2009-01-26,ELSE,ELECTRO SENSORS INC,3825.0,282.0
28523310,2.41,2.41,2009-01-27,ELSE,ELECTRO SENSORS INC,3825.0,282.0
28523310,2.85,2.85,2009-01-28,ELSE,ELECTRO SENSORS INC,3825.0,282.0
28523310,-2.655,,2009-01-29,ELSE,ELECTRO SENSORS INC,3825.0,282.0
28523310,2.83,2.4101,2009-01-30,ELSE,ELECTRO SENSORS INC,3825.0,282.0
28523310,2.52,2.52,2009-02-02,ELSE,ELECTRO SENSORS INC,3825.0,282.0
28523310,2.574,2.574,2009-02-03,ELSE,ELECTRO SENSORS INC,3825.0,282.0
