cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
02364V20,5.2001,4.96,2009-01-02,GHI,GREYSTONE HOUSING IM INV LP,6163.0,82.0
02364V20,5.9499,5.31,2009-01-05,GHI,GREYSTONE HOUSING IM INV LP,6163.0,82.0
02364V20,5.65,5.6601,2009-01-06,GHI,GREYSTONE HOUSING IM INV LP,6163.0,82.0
02364V20,5.64,5.53,2009-01-07,GHI,GREYSTONE HOUSING IM INV LP,6163.0,82.0
02364V20,5.8,5.52,2009-01-08,GHI,GREYSTONE HOUSING IM INV LP,6163.0,82.0
02364V20,5.8,5.8,2009-01-09,GHI,GREYSTONE HOUSING IM INV LP,6163.0,82.0
02364V20,5.53,5.86,2009-01-12,GHI,GREYSTONE HOUSING IM INV LP,6163.0,82.0
02364V20,5.45,5.71,2009-01-13,GHI,GREYSTONE HOUSING IM INV LP,6163.0,82.0
02364V20,5.72,5.88,2009-01-14,GHI,GREYSTONE HOUSING IM INV LP,6163.0,82.0
02364V20,5.5,5.16,2009-01-15,GHI,GREYSTONE HOUSING IM INV LP,6163.0,82.0
02364V20,5.45,5.5,2009-01-16,GHI,GREYSTONE HOUSING IM INV LP,6163.0,82.0
02364V20,5.912,5.6,2009-01-20,GHI,GREYSTONE HOUSING IM INV LP,6163.0,82.0
02364V20,5.9,5.91,2009-01-21,GHI,GREYSTONE HOUSING IM INV LP,6163.0,82.0
02364V20,5.94,5.95,2009-01-22,GHI,GREYSTONE HOUSING IM INV LP,6163.0,82.0
02364V20,5.92,5.97,2009-01-23,GHI,GREYSTONE HOUSING IM INV LP,6163.0,82.0
02364V20,6.1,6.21,2009-01-26,GHI,GREYSTONE HOUSING IM INV LP,6163.0,82.0
02364V20,6.21,6.25,2009-01-27,GHI,GREYSTONE HOUSING IM INV LP,6163.0,82.0
02364V20,6.49,6.38,2009-01-28,GHI,GREYSTONE HOUSING IM INV LP,6163.0,82.0
02364V20,6.5,6.25,2009-01-29,GHI,GREYSTONE HOUSING IM INV LP,6163.0,82.0
02364V20,6.6,6.99,2009-01-30,GHI,GREYSTONE HOUSING IM INV LP,6163.0,82.0
02364V20,6.48,6.5,2009-02-02,GHI,GREYSTONE HOUSING IM INV LP,6163.0,82.0
02364V20,6.1,6.74,2009-02-03,GHI,GREYSTONE HOUSING IM INV LP,6163.0,82.0
02364V20,6.2,6.55,2009-02-04,GHI,GREYSTONE HOUSING IM INV LP,6163.0,82.0
02364V20,6.73,6.55,2009-02-05,GHI,GREYSTONE HOUSING IM INV LP,6163.0,82.0
02364V20,6.75,6.75,2009-02-06,GHI,GREYSTONE HOUSING IM INV LP,6163.0,82.0
02364V20,6.4,6.75,2009-02-09,GHI,GREYSTONE HOUSING IM INV LP,6163.0,82.0
02364V20,6.4,6.4,2009-02-10,GHI,GREYSTONE HOUSING IM INV LP,6163.0,82.0
02364V20,6.38,6.35,2009-02-11,GHI,GREYSTONE HOUSING IM INV LP,6163.0,82.0
