cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
36352H10,0.94,0.94,2009-01-02,GAU,GALIANO GOLD INC,1081.0,198.0
36352H10,0.95,0.95,2009-01-05,GAU,GALIANO GOLD INC,1081.0,198.0
36352H10,1.01,0.95,2009-01-06,GAU,GALIANO GOLD INC,1081.0,198.0
36352H10,0.96,1.02,2009-01-07,GAU,GALIANO GOLD INC,1081.0,198.0
36352H10,1.02,0.96,2009-01-08,GAU,GALIANO GOLD INC,1081.0,198.0
36352H10,1.01,1.02,2009-01-09,GAU,GALIANO GOLD INC,1081.0,198.0
36352H10,0.95,1.0,2009-01-12,GAU,GALIANO GOLD INC,1081.0,198.0
36352H10,0.9,0.9104,2009-01-13,GAU,GALIANO GOLD INC,1081.0,198.0
36352H10,0.88,0.86,2009-01-14,GAU,GALIANO GOLD INC,1081.0,198.0
36352H10,0.87,0.87,2009-01-15,GAU,GALIANO GOLD INC,1081.0,198.0
36352H10,0.9,0.91,2009-01-16,GAU,GALIANO GOLD INC,1081.0,198.0
36352H10,0.8511,0.94,2009-01-20,GAU,GALIANO GOLD INC,1081.0,198.0
36352H10,0.895,0.85,2009-01-21,GAU,GALIANO GOLD INC,1081.0,198.0
36352H10,0.87,0.85,2009-01-22,GAU,GALIANO GOLD INC,1081.0,198.0
36352H10,1.0,0.9,2009-01-23,GAU,GALIANO GOLD INC,1081.0,198.0
36352H10,1.14,1.03,2009-01-26,GAU,GALIANO GOLD INC,1081.0,198.0
36352H10,1.14,1.11,2009-01-27,GAU,GALIANO GOLD INC,1081.0,198.0
36352H10,1.07,1.17,2009-01-28,GAU,GALIANO GOLD INC,1081.0,198.0
36352H10,1.21,1.05,2009-01-29,GAU,GALIANO GOLD INC,1081.0,198.0
36352H10,1.28,1.33,2009-01-30,GAU,GALIANO GOLD INC,1081.0,198.0
36352H10,1.3,1.25,2009-02-02,GAU,GALIANO GOLD INC,1081.0,198.0
36352H10,1.3199,1.44,2009-02-03,GAU,GALIANO GOLD INC,1081.0,198.0
36352H10,1.35,1.33,2009-02-04,GAU,GALIANO GOLD INC,1081.0,198.0
36352H10,1.6265,1.47,2009-02-05,GAU,GALIANO GOLD INC,1081.0,198.0
36352H10,1.7001,1.7,2009-02-06,GAU,GALIANO GOLD INC,1081.0,198.0
36352H10,1.63,1.87,2009-02-09,GAU,GALIANO GOLD INC,1081.0,198.0
36352H10,1.61,1.79,2009-02-10,GAU,GALIANO GOLD INC,1081.0,198.0
36352H10,1.78,1.65,2009-02-11,GAU,GALIANO GOLD INC,1081.0,198.0
36352H10,1.85,1.77,2009-02-12,GAU,GALIANO GOLD INC,1081.0,198.0
36352H10,1.7,1.85,2009-02-13,GAU,GALIANO GOLD INC,1081.0,198.0
36352H10,1.79,1.71,2009-02-17,GAU,GALIANO GOLD INC,1081.0,198.0
36352H10,1.95,1.8,2009-02-18,GAU,GALIANO GOLD INC,1081.0,198.0
36352H10,1.81,1.95,2009-02-19,GAU,GALIANO GOLD INC,1081.0,198.0
36352H10,2.0301,1.91,2009-02-20,GAU,GALIANO GOLD INC,1081.0,198.0
36352H10,2.03,2.12,2009-02-23,GAU,GALIANO GOLD INC,1081.0,198.0
36352H10,2.05,2.0,2009-02-24,GAU,GALIANO GOLD INC,1081.0,198.0
36352H10,1.99,2.02,2009-02-25,GAU,GALIANO GOLD INC,1081.0,198.0
36352H10,2.14,1.93,2009-02-26,GAU,GALIANO GOLD INC,1081.0,198.0
36352H10,2.2,2.23,2009-02-27,GAU,GALIANO GOLD INC,1081.0,198.0
36352H10,2.09,2.23,2009-03-02,GAU,GALIANO GOLD INC,1081.0,198.0
36352H10,1.86,2.05,2009-03-03,GAU,GALIANO GOLD INC,1081.0,198.0
36352H10,1.93,1.94,2009-03-04,GAU,GALIANO GOLD INC,1081.0,198.0
36352H10,2.02,1.95,2009-03-05,GAU,GALIANO GOLD INC,1081.0,198.0
36352H10,1.97,2.02,2009-03-06,GAU,GALIANO GOLD INC,1081.0,198.0
36352H10,1.89,1.95,2009-03-09,GAU,GALIANO GOLD INC,1081.0,198.0
36352H10,1.87,1.86,2009-03-10,GAU,GALIANO GOLD INC,1081.0,198.0
36352H10,2.0,1.87,2009-03-11,GAU,GALIANO GOLD INC,1081.0,198.0
36352H10,1.95,2.07,2009-03-12,GAU,GALIANO GOLD INC,1081.0,198.0
36352H10,1.93,2.02,2009-03-13,GAU,GALIANO GOLD INC,1081.0,198.0
36352H10,1.7548,1.91,2009-03-16,GAU,GALIANO GOLD INC,1081.0,198.0
36352H10,1.71,1.7403,2009-03-17,GAU,GALIANO GOLD INC,1081.0,198.0
36352H10,1.81,1.66,2009-03-18,GAU,GALIANO GOLD INC,1081.0,198.0
36352H10,2.0461,1.88,2009-03-19,GAU,GALIANO GOLD INC,1081.0,198.0
36352H10,2.08,2.5,2009-03-20,GAU,GALIANO GOLD INC,1081.0,198.0
36352H10,2.23,2.5,2009-03-23,GAU,GALIANO GOLD INC,1081.0,198.0
36352H10,2.25,2.15,2009-03-24,GAU,GALIANO GOLD INC,1081.0,198.0
36352H10,2.33,2.35,2009-03-25,GAU,GALIANO GOLD INC,1081.0,198.0
36352H10,2.34,2.68,2009-03-26,GAU,GALIANO GOLD INC,1081.0,198.0
36352H10,2.2499,2.25,2009-03-27,GAU,GALIANO GOLD INC,1081.0,198.0
36352H10,2.1,2.25,2009-03-30,GAU,GALIANO GOLD INC,1081.0,198.0
36352H10,2.2,2.01,2009-03-31,GAU,GALIANO GOLD INC,1081.0,198.0
36352H10,2.12,2.19,2009-04-01,GAU,GALIANO GOLD INC,1081.0,198.0
36352H10,2.01,2.08,2009-04-02,GAU,GALIANO GOLD INC,1081.0,198.0
36352H10,1.99,1.97,2009-04-03,GAU,GALIANO GOLD INC,1081.0,198.0
36352H10,1.77,1.99,2009-04-06,GAU,GALIANO GOLD INC,1081.0,198.0
36352H10,1.8999,1.84,2009-04-07,GAU,GALIANO GOLD INC,1081.0,198.0
36352H10,1.86,1.85,2009-04-08,GAU,GALIANO GOLD INC,1081.0,198.0
36352H10,1.98,1.86,2009-04-09,GAU,GALIANO GOLD INC,1081.0,198.0
36352H10,2.086,2.2,2009-04-13,GAU,GALIANO GOLD INC,1081.0,198.0
36352H10,2.04,2.0504,2009-04-14,GAU,GALIANO GOLD INC,1081.0,198.0
36352H10,2.12,2.12,2009-04-15,GAU,GALIANO GOLD INC,1081.0,198.0
36352H10,2.02,2.16,2009-04-16,GAU,GALIANO GOLD INC,1081.0,198.0
36352H10,2.06,2.04,2009-04-17,GAU,GALIANO GOLD INC,1081.0,198.0
36352H10,2.01,2.06,2009-04-20,GAU,GALIANO GOLD INC,1081.0,198.0
36352H10,2.03,2.01,2009-04-21,GAU,GALIANO GOLD INC,1081.0,198.0
36352H10,2.03,2.03,2009-04-22,GAU,GALIANO GOLD INC,1081.0,198.0
36352H10,2.1,2.05,2009-04-23,GAU,GALIANO GOLD INC,1081.0,198.0
36352H10,2.15,2.08,2009-04-24,GAU,GALIANO GOLD INC,1081.0,198.0
36352H10,2.12,2.14,2009-04-27,GAU,GALIANO GOLD INC,1081.0,198.0
36352H10,2.09,2.09,2009-04-28,GAU,GALIANO GOLD INC,1081.0,198.0
36352H10,2.1,2.05,2009-04-29,GAU,GALIANO GOLD INC,1081.0,198.0
36352H10,2.18,2.25,2009-04-30,GAU,GALIANO GOLD INC,1081.0,198.0
36352H10,2.24,2.23,2009-05-01,GAU,GALIANO GOLD INC,1081.0,198.0
36352H10,2.15,2.25,2009-05-04,GAU,GALIANO GOLD INC,1081.0,198.0
