cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
G1625210,12.93,11.3,2009-01-02,BIP,BROOKFIELD INFRASTRUC PARTNER LP,6719.0,198.0
G1625210,13.54,12.99,2009-01-05,BIP,BROOKFIELD INFRASTRUC PARTNER LP,6719.0,198.0
G1625210,13.9,13.44,2009-01-06,BIP,BROOKFIELD INFRASTRUC PARTNER LP,6719.0,198.0
G1625210,13.55,14.09,2009-01-07,BIP,BROOKFIELD INFRASTRUC PARTNER LP,6719.0,198.0
G1625210,13.7,13.53,2009-01-08,BIP,BROOKFIELD INFRASTRUC PARTNER LP,6719.0,198.0
G1625210,14.15,13.97,2009-01-09,BIP,BROOKFIELD INFRASTRUC PARTNER LP,6719.0,198.0
G1625210,13.72,14.46,2009-01-12,BIP,BROOKFIELD INFRASTRUC PARTNER LP,6719.0,198.0
G1625210,14.48,14.08,2009-01-13,BIP,BROOKFIELD INFRASTRUC PARTNER LP,6719.0,198.0
G1625210,13.5,14.3,2009-01-14,BIP,BROOKFIELD INFRASTRUC PARTNER LP,6719.0,198.0
G1625210,12.7,13.6,2009-01-15,BIP,BROOKFIELD INFRASTRUC PARTNER LP,6719.0,198.0
G1625210,12.73,12.83,2009-01-16,BIP,BROOKFIELD INFRASTRUC PARTNER LP,6719.0,198.0
G1625210,12.8,13.0,2009-01-20,BIP,BROOKFIELD INFRASTRUC PARTNER LP,6719.0,198.0
G1625210,12.8,12.8,2009-01-21,BIP,BROOKFIELD INFRASTRUC PARTNER LP,6719.0,198.0
G1625210,13.36,12.7,2009-01-22,BIP,BROOKFIELD INFRASTRUC PARTNER LP,6719.0,198.0
G1625210,13.72,13.35,2009-01-23,BIP,BROOKFIELD INFRASTRUC PARTNER LP,6719.0,198.0
G1625210,13.528,13.91,2009-01-26,BIP,BROOKFIELD INFRASTRUC PARTNER LP,6719.0,198.0
G1625210,13.31,13.4,2009-01-27,BIP,BROOKFIELD INFRASTRUC PARTNER LP,6719.0,198.0
G1625210,13.26,13.77,2009-01-28,BIP,BROOKFIELD INFRASTRUC PARTNER LP,6719.0,198.0
G1625210,13.3,13.49,2009-01-29,BIP,BROOKFIELD INFRASTRUC PARTNER LP,6719.0,198.0
G1625210,13.2,13.48,2009-01-30,BIP,BROOKFIELD INFRASTRUC PARTNER LP,6719.0,198.0
G1625210,13.0,13.48,2009-02-02,BIP,BROOKFIELD INFRASTRUC PARTNER LP,6719.0,198.0
G1625210,14.04,13.16,2009-02-03,BIP,BROOKFIELD INFRASTRUC PARTNER LP,6719.0,198.0
G1625210,13.75,13.8,2009-02-04,BIP,BROOKFIELD INFRASTRUC PARTNER LP,6719.0,198.0
G1625210,13.32,14.0,2009-02-05,BIP,BROOKFIELD INFRASTRUC PARTNER LP,6719.0,198.0
G1625210,13.38,13.62,2009-02-06,BIP,BROOKFIELD INFRASTRUC PARTNER LP,6719.0,198.0
G1625210,13.49,13.55,2009-02-09,BIP,BROOKFIELD INFRASTRUC PARTNER LP,6719.0,198.0
G1625210,13.43,13.56,2009-02-10,BIP,BROOKFIELD INFRASTRUC PARTNER LP,6719.0,198.0
G1625210,13.47,13.6,2009-02-11,BIP,BROOKFIELD INFRASTRUC PARTNER LP,6719.0,198.0
G1625210,14.0,13.78,2009-02-12,BIP,BROOKFIELD INFRASTRUC PARTNER LP,6719.0,198.0
G1625210,13.83,14.08,2009-02-13,BIP,BROOKFIELD INFRASTRUC PARTNER LP,6719.0,198.0
G1625210,14.12,13.65,2009-02-17,BIP,BROOKFIELD INFRASTRUC PARTNER LP,6719.0,198.0
G1625210,13.6,14.03,2009-02-18,BIP,BROOKFIELD INFRASTRUC PARTNER LP,6719.0,198.0
G1625210,13.25,13.55,2009-02-19,BIP,BROOKFIELD INFRASTRUC PARTNER LP,6719.0,198.0
G1625210,13.26,13.11,2009-02-20,BIP,BROOKFIELD INFRASTRUC PARTNER LP,6719.0,198.0
