cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
03203710,23.54,22.08,2009-01-02,AP,AMPCO PITTSBURGH CORP,3561.0,460.0
03203710,23.28,23.48,2009-01-05,AP,AMPCO PITTSBURGH CORP,3561.0,460.0
03203710,24.11,23.59,2009-01-06,AP,AMPCO PITTSBURGH CORP,3561.0,460.0
03203710,22.7,23.88,2009-01-07,AP,AMPCO PITTSBURGH CORP,3561.0,460.0
03203710,23.1,22.68,2009-01-08,AP,AMPCO PITTSBURGH CORP,3561.0,460.0
03203710,21.27,23.22,2009-01-09,AP,AMPCO PITTSBURGH CORP,3561.0,460.0
03203710,20.06,21.28,2009-01-12,AP,AMPCO PITTSBURGH CORP,3561.0,460.0
03203710,19.86,19.5,2009-01-13,AP,AMPCO PITTSBURGH CORP,3561.0,460.0
03203710,18.37,19.35,2009-01-14,AP,AMPCO PITTSBURGH CORP,3561.0,460.0
03203710,19.51,18.16,2009-01-15,AP,AMPCO PITTSBURGH CORP,3561.0,460.0
03203710,19.52,19.97,2009-01-16,AP,AMPCO PITTSBURGH CORP,3561.0,460.0
03203710,17.86,19.2,2009-01-20,AP,AMPCO PITTSBURGH CORP,3561.0,460.0
03203710,20.59,18.19,2009-01-21,AP,AMPCO PITTSBURGH CORP,3561.0,460.0
03203710,18.74,19.92,2009-01-22,AP,AMPCO PITTSBURGH CORP,3561.0,460.0
03203710,19.4,18.5,2009-01-23,AP,AMPCO PITTSBURGH CORP,3561.0,460.0
03203710,20.31,19.12,2009-01-26,AP,AMPCO PITTSBURGH CORP,3561.0,460.0
03203710,20.44,20.38,2009-01-27,AP,AMPCO PITTSBURGH CORP,3561.0,460.0
03203710,19.92,21.05,2009-01-28,AP,AMPCO PITTSBURGH CORP,3561.0,460.0
03203710,19.48,19.68,2009-01-29,AP,AMPCO PITTSBURGH CORP,3561.0,460.0
03203710,18.49,19.84,2009-01-30,AP,AMPCO PITTSBURGH CORP,3561.0,460.0
03203710,18.55,18.25,2009-02-02,AP,AMPCO PITTSBURGH CORP,3561.0,460.0
03203710,19.34,18.74,2009-02-03,AP,AMPCO PITTSBURGH CORP,3561.0,460.0
03203710,17.86,19.48,2009-02-04,AP,AMPCO PITTSBURGH CORP,3561.0,460.0
03203710,18.36,17.61,2009-02-05,AP,AMPCO PITTSBURGH CORP,3561.0,460.0
03203710,21.04,18.4,2009-02-06,AP,AMPCO PITTSBURGH CORP,3561.0,460.0
03203710,19.12,21.19,2009-02-09,AP,AMPCO PITTSBURGH CORP,3561.0,460.0
03203710,16.21,18.65,2009-02-10,AP,AMPCO PITTSBURGH CORP,3561.0,460.0
03203710,15.09,15.77,2009-02-11,AP,AMPCO PITTSBURGH CORP,3561.0,460.0
