cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
78568810,41.49,40.5,2009-01-02,SBR,SABINE ROYALTY TR,6799.0,402.0
78568810,42.71,42.0,2009-01-05,SBR,SABINE ROYALTY TR,6799.0,402.0
78568810,44.474,43.6,2009-01-06,SBR,SABINE ROYALTY TR,6799.0,402.0
78568810,42.5,45.0,2009-01-07,SBR,SABINE ROYALTY TR,6799.0,402.0
78568810,44.54,42.2,2009-01-08,SBR,SABINE ROYALTY TR,6799.0,402.0
78568810,43.42,44.565,2009-01-09,SBR,SABINE ROYALTY TR,6799.0,402.0
78568810,42.6,43.3,2009-01-12,SBR,SABINE ROYALTY TR,6799.0,402.0
78568810,41.2,41.62,2009-01-13,SBR,SABINE ROYALTY TR,6799.0,402.0
78568810,41.222,40.55,2009-01-14,SBR,SABINE ROYALTY TR,6799.0,402.0
78568810,40.49,41.5,2009-01-15,SBR,SABINE ROYALTY TR,6799.0,402.0
78568810,40.7828,39.85,2009-01-16,SBR,SABINE ROYALTY TR,6799.0,402.0
78568810,41.226,40.0,2009-01-20,SBR,SABINE ROYALTY TR,6799.0,402.0
78568810,42.41,40.7,2009-01-21,SBR,SABINE ROYALTY TR,6799.0,402.0
78568810,41.69,42.3,2009-01-22,SBR,SABINE ROYALTY TR,6799.0,402.0
78568810,42.87,41.0,2009-01-23,SBR,SABINE ROYALTY TR,6799.0,402.0
78568810,44.1,43.45,2009-01-26,SBR,SABINE ROYALTY TR,6799.0,402.0
78568810,43.27,44.1,2009-01-27,SBR,SABINE ROYALTY TR,6799.0,402.0
78568810,42.75,42.7,2009-01-28,SBR,SABINE ROYALTY TR,6799.0,402.0
78568810,42.71,41.01,2009-01-29,SBR,SABINE ROYALTY TR,6799.0,402.0
78568810,42.95,43.55,2009-01-30,SBR,SABINE ROYALTY TR,6799.0,402.0
78568810,43.0,42.4,2009-02-02,SBR,SABINE ROYALTY TR,6799.0,402.0
78568810,42.8,44.65,2009-02-03,SBR,SABINE ROYALTY TR,6799.0,402.0
78568810,43.87,44.4,2009-02-04,SBR,SABINE ROYALTY TR,6799.0,402.0
78568810,42.29,42.76,2009-02-05,SBR,SABINE ROYALTY TR,6799.0,402.0
78568810,41.9,42.25,2009-02-06,SBR,SABINE ROYALTY TR,6799.0,402.0
78568810,41.79,41.12,2009-02-09,SBR,SABINE ROYALTY TR,6799.0,402.0
78568810,41.81,41.5,2009-02-10,SBR,SABINE ROYALTY TR,6799.0,402.0
78568810,42.655,42.7,2009-02-11,SBR,SABINE ROYALTY TR,6799.0,402.0
78568810,41.572,41.74,2009-02-12,SBR,SABINE ROYALTY TR,6799.0,402.0
78568810,41.21,42.6,2009-02-13,SBR,SABINE ROYALTY TR,6799.0,402.0
78568810,39.51,40.76,2009-02-17,SBR,SABINE ROYALTY TR,6799.0,402.0
78568810,38.3,39.5,2009-02-18,SBR,SABINE ROYALTY TR,6799.0,402.0
78568810,37.2,37.92,2009-02-19,SBR,SABINE ROYALTY TR,6799.0,402.0
78568810,31.6,36.5,2009-02-20,SBR,SABINE ROYALTY TR,6799.0,402.0
78568810,31.69,30.97,2009-02-23,SBR,SABINE ROYALTY TR,6799.0,402.0
78568810,29.915,31.99,2009-02-24,SBR,SABINE ROYALTY TR,6799.0,402.0
78568810,31.23,29.95,2009-02-25,SBR,SABINE ROYALTY TR,6799.0,402.0
78568810,32.43,31.75,2009-02-26,SBR,SABINE ROYALTY TR,6799.0,402.0
78568810,31.51,31.55,2009-02-27,SBR,SABINE ROYALTY TR,6799.0,402.0
78568810,30.0801,31.5,2009-03-02,SBR,SABINE ROYALTY TR,6799.0,402.0
78568810,29.13,30.0,2009-03-03,SBR,SABINE ROYALTY TR,6799.0,402.0
78568810,29.82,29.0,2009-03-04,SBR,SABINE ROYALTY TR,6799.0,402.0
78568810,28.88,29.08,2009-03-05,SBR,SABINE ROYALTY TR,6799.0,402.0
