cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
46121Y20,21.41,20.74,2009-01-02,IPI,INTREPID POTASH INC,1474.0,193.0
46121Y20,21.69,21.01,2009-01-05,IPI,INTREPID POTASH INC,1474.0,193.0
46121Y20,21.91,22.24,2009-01-06,IPI,INTREPID POTASH INC,1474.0,193.0
46121Y20,21.79,21.85,2009-01-07,IPI,INTREPID POTASH INC,1474.0,193.0
46121Y20,21.42,21.48,2009-01-08,IPI,INTREPID POTASH INC,1474.0,193.0
46121Y20,21.48,21.81,2009-01-09,IPI,INTREPID POTASH INC,1474.0,193.0
46121Y20,19.43,20.61,2009-01-12,IPI,INTREPID POTASH INC,1474.0,193.0
46121Y20,19.67,19.11,2009-01-13,IPI,INTREPID POTASH INC,1474.0,193.0
46121Y20,18.56,19.33,2009-01-14,IPI,INTREPID POTASH INC,1474.0,193.0
46121Y20,19.64,18.17,2009-01-15,IPI,INTREPID POTASH INC,1474.0,193.0
46121Y20,20.0,20.44,2009-01-16,IPI,INTREPID POTASH INC,1474.0,193.0
46121Y20,19.02,19.25,2009-01-20,IPI,INTREPID POTASH INC,1474.0,193.0
46121Y20,20.11,19.83,2009-01-21,IPI,INTREPID POTASH INC,1474.0,193.0
46121Y20,21.19,19.5,2009-01-22,IPI,INTREPID POTASH INC,1474.0,193.0
46121Y20,22.0,20.18,2009-01-23,IPI,INTREPID POTASH INC,1474.0,193.0
46121Y20,22.36,22.47,2009-01-26,IPI,INTREPID POTASH INC,1474.0,193.0
46121Y20,21.81,22.63,2009-01-27,IPI,INTREPID POTASH INC,1474.0,193.0
46121Y20,21.9,22.62,2009-01-28,IPI,INTREPID POTASH INC,1474.0,193.0
46121Y20,21.08,21.21,2009-01-29,IPI,INTREPID POTASH INC,1474.0,193.0
46121Y20,20.38,21.27,2009-01-30,IPI,INTREPID POTASH INC,1474.0,193.0
46121Y20,19.85,19.74,2009-02-02,IPI,INTREPID POTASH INC,1474.0,193.0
46121Y20,21.11,20.03,2009-02-03,IPI,INTREPID POTASH INC,1474.0,193.0
46121Y20,22.04,21.5,2009-02-04,IPI,INTREPID POTASH INC,1474.0,193.0
46121Y20,22.45,21.83,2009-02-05,IPI,INTREPID POTASH INC,1474.0,193.0
46121Y20,22.81,22.65,2009-02-06,IPI,INTREPID POTASH INC,1474.0,193.0
46121Y20,24.35,23.45,2009-02-09,IPI,INTREPID POTASH INC,1474.0,193.0
46121Y20,23.52,24.58,2009-02-10,IPI,INTREPID POTASH INC,1474.0,193.0
