cusip,prc,openprc,date,numtrd,shrout,htick,hcomnam,hsiccd
Y2359213,4.71,4.33,2009-01-02,644,30103.0,ESEA,EUROSEAS LTD,4412.0
Y2359213,4.87,4.71,2009-01-05,785,30103.0,ESEA,EUROSEAS LTD,4412.0
Y2359213,5.82,5.13,2009-01-06,1490,30103.0,ESEA,EUROSEAS LTD,4412.0
Y2359213,5.15,5.64,2009-01-07,1282,30103.0,ESEA,EUROSEAS LTD,4412.0
Y2359213,5.42,5.18,2009-01-08,962,30103.0,ESEA,EUROSEAS LTD,4412.0
Y2359213,5.46,5.49,2009-01-09,1226,30103.0,ESEA,EUROSEAS LTD,4412.0
Y2359213,5.09,5.74,2009-01-12,784,30103.0,ESEA,EUROSEAS LTD,4412.0
Y2359213,5.03,5.08,2009-01-13,594,30103.0,ESEA,EUROSEAS LTD,4412.0
Y2359213,4.68,5.0,2009-01-14,792,30103.0,ESEA,EUROSEAS LTD,4412.0
Y2359213,4.66,4.7,2009-01-15,593,30103.0,ESEA,EUROSEAS LTD,4412.0
Y2359213,4.72,4.83,2009-01-16,576,30103.0,ESEA,EUROSEAS LTD,4412.0
Y2359213,4.25,4.72,2009-01-20,603,30103.0,ESEA,EUROSEAS LTD,4412.0
Y2359213,4.73,4.4,2009-01-21,718,30103.0,ESEA,EUROSEAS LTD,4412.0
Y2359213,4.35,4.56,2009-01-22,421,30103.0,ESEA,EUROSEAS LTD,4412.0
Y2359213,4.5,4.27,2009-01-23,478,30103.0,ESEA,EUROSEAS LTD,4412.0
Y2359213,4.59,4.5,2009-01-26,439,30103.0,ESEA,EUROSEAS LTD,4412.0
Y2359213,4.7,4.7,2009-01-27,294,30103.0,ESEA,EUROSEAS LTD,4412.0
Y2359213,5.06,4.76,2009-01-28,634,30103.0,ESEA,EUROSEAS LTD,4412.0
Y2359213,4.81,5.04,2009-01-29,812,30103.0,ESEA,EUROSEAS LTD,4412.0
Y2359213,4.53,4.79,2009-01-30,455,30103.0,ESEA,EUROSEAS LTD,4412.0
Y2359213,4.48,4.49,2009-02-02,338,30103.0,ESEA,EUROSEAS LTD,4412.0
Y2359213,4.68,4.57,2009-02-03,507,30103.0,ESEA,EUROSEAS LTD,4412.0
Y2359213,4.99,4.64,2009-02-04,973,30103.0,ESEA,EUROSEAS LTD,4412.0
Y2359213,5.16,4.99,2009-02-05,722,30103.0,ESEA,EUROSEAS LTD,4412.0
Y2359213,5.52,5.23,2009-02-06,845,30103.0,ESEA,EUROSEAS LTD,4412.0
Y2359213,5.48,5.57,2009-02-09,675,30103.0,ESEA,EUROSEAS LTD,4412.0
Y2359213,4.98,5.49,2009-02-10,593,30103.0,ESEA,EUROSEAS LTD,4412.0
Y2359213,4.78,5.06,2009-02-11,436,30103.0,ESEA,EUROSEAS LTD,4412.0
Y2359213,4.72,4.65,2009-02-12,333,30103.0,ESEA,EUROSEAS LTD,4412.0
Y2359213,4.62,4.66,2009-02-13,256,30103.0,ESEA,EUROSEAS LTD,4412.0
Y2359213,4.34,4.53,2009-02-17,507,30103.0,ESEA,EUROSEAS LTD,4412.0
Y2359213,4.44,4.46,2009-02-18,962,30103.0,ESEA,EUROSEAS LTD,4412.0
Y2359213,4.31,4.45,2009-02-19,418,30103.0,ESEA,EUROSEAS LTD,4412.0
Y2359213,4.23,4.5,2009-02-20,980,30103.0,ESEA,EUROSEAS LTD,4412.0
Y2359213,4.3,4.23,2009-02-23,961,30103.0,ESEA,EUROSEAS LTD,4412.0
Y2359213,4.86,4.39,2009-02-24,1298,30103.0,ESEA,EUROSEAS LTD,4412.0
Y2359213,4.51,4.89,2009-02-25,936,30103.0,ESEA,EUROSEAS LTD,4412.0
Y2359213,4.47,4.7,2009-02-26,579,30103.0,ESEA,EUROSEAS LTD,4412.0
Y2359213,4.26,4.36,2009-02-27,580,30103.0,ESEA,EUROSEAS LTD,4412.0
Y2359213,3.85,4.25,2009-03-02,640,30103.0,ESEA,EUROSEAS LTD,4412.0
Y2359213,3.65,3.82,2009-03-03,919,30103.0,ESEA,EUROSEAS LTD,4412.0
