cusip,prc,openprc,date,numtrd,shrout,htick,hcomnam,hsiccd
46137V66,16.45,15.96,2009-01-02,,9100.0,PJP,INVESCO E T F TRUST,6726.0
46137V66,16.154,16.31,2009-01-05,,9100.0,PJP,INVESCO E T F TRUST,6726.0
46137V66,15.88,16.32,2009-01-06,,9100.0,PJP,INVESCO E T F TRUST,6726.0
46137V66,15.67,15.6,2009-01-07,,9100.0,PJP,INVESCO E T F TRUST,6726.0
46137V66,15.75,15.693,2009-01-08,,9100.0,PJP,INVESCO E T F TRUST,6726.0
46137V66,15.59,15.9,2009-01-09,,9100.0,PJP,INVESCO E T F TRUST,6726.0
46137V66,15.31,15.51,2009-01-12,,9100.0,PJP,INVESCO E T F TRUST,6726.0
46137V66,15.35,15.22,2009-01-13,,9100.0,PJP,INVESCO E T F TRUST,6726.0
46137V66,15.1,15.0,2009-01-14,,9100.0,PJP,INVESCO E T F TRUST,6726.0
46137V66,15.22,15.09,2009-01-15,,9100.0,PJP,INVESCO E T F TRUST,6726.0
46137V66,15.24,15.53,2009-01-16,,9100.0,PJP,INVESCO E T F TRUST,6726.0
46137V66,14.83,15.32,2009-01-20,,9100.0,PJP,INVESCO E T F TRUST,6726.0
46137V66,15.33,14.9,2009-01-21,,9100.0,PJP,INVESCO E T F TRUST,6726.0
46137V66,15.2,15.0594,2009-01-22,,9100.0,PJP,INVESCO E T F TRUST,6726.0
46137V66,15.19,14.96,2009-01-23,,9100.0,PJP,INVESCO E T F TRUST,6726.0
46137V66,15.15,15.16,2009-01-26,,9100.0,PJP,INVESCO E T F TRUST,6726.0
46137V66,15.45,15.28,2009-01-27,,9100.0,PJP,INVESCO E T F TRUST,6726.0
46137V66,15.61,15.92,2009-01-28,,9100.0,PJP,INVESCO E T F TRUST,6726.0
46137V66,15.53,15.588,2009-01-29,,9100.0,PJP,INVESCO E T F TRUST,6726.0
46137V66,15.34,15.4999,2009-01-30,,9000.0,PJP,INVESCO E T F TRUST,6726.0
46137V66,15.4999,15.18,2009-02-02,,9000.0,PJP,INVESCO E T F TRUST,6726.0
46137V66,15.75,15.66,2009-02-03,,9000.0,PJP,INVESCO E T F TRUST,6726.0
46137V66,15.58,15.92,2009-02-04,,9000.0,PJP,INVESCO E T F TRUST,6726.0
46137V66,15.71,15.53,2009-02-05,,9000.0,PJP,INVESCO E T F TRUST,6726.0
46137V66,15.874,15.77,2009-02-06,,9000.0,PJP,INVESCO E T F TRUST,6726.0
46137V66,15.92,15.95,2009-02-09,,9000.0,PJP,INVESCO E T F TRUST,6726.0
46137V66,15.46,15.78,2009-02-10,,9000.0,PJP,INVESCO E T F TRUST,6726.0
46137V66,15.5415,15.4,2009-02-11,,9000.0,PJP,INVESCO E T F TRUST,6726.0
46137V66,15.78,15.38,2009-02-12,,9000.0,PJP,INVESCO E T F TRUST,6726.0
46137V66,15.7,15.72,2009-02-13,,9000.0,PJP,INVESCO E T F TRUST,6726.0
46137V66,15.27,16.13,2009-02-17,,9000.0,PJP,INVESCO E T F TRUST,6726.0
46137V66,15.2327,15.38,2009-02-18,,9000.0,PJP,INVESCO E T F TRUST,6726.0
46137V66,15.25,15.55,2009-02-19,,9000.0,PJP,INVESCO E T F TRUST,6726.0
46137V66,15.06,15.02,2009-02-20,,9000.0,PJP,INVESCO E T F TRUST,6726.0
46137V66,14.8,15.01,2009-02-23,,9000.0,PJP,INVESCO E T F TRUST,6726.0
46137V66,14.94,14.78,2009-02-24,,9000.0,PJP,INVESCO E T F TRUST,6726.0
46137V66,14.69,14.94,2009-02-25,,9000.0,PJP,INVESCO E T F TRUST,6726.0
46137V66,14.09,14.84,2009-02-26,,9000.0,PJP,INVESCO E T F TRUST,6726.0
46137V66,13.54,14.01,2009-02-27,,9100.0,PJP,INVESCO E T F TRUST,6726.0
46137V66,12.8,13.33,2009-03-02,,9100.0,PJP,INVESCO E T F TRUST,6726.0
46137V66,12.61,12.9,2009-03-03,,9100.0,PJP,INVESCO E T F TRUST,6726.0
46137V66,12.95,12.82,2009-03-04,,9100.0,PJP,INVESCO E T F TRUST,6726.0
46137V66,12.58,12.8,2009-03-05,,9100.0,PJP,INVESCO E T F TRUST,6726.0
