cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
46428711,42.56,41.37,2009-01-02,ILCG,ISHARES TRUST,6726.0,246.0
46428711,42.7192,42.53,2009-01-05,ILCG,ISHARES TRUST,6726.0,246.0
46428711,43.04,43.18,2009-01-06,ILCG,ISHARES TRUST,6726.0,246.0
46428711,41.93,42.39,2009-01-07,ILCG,ISHARES TRUST,6726.0,246.0
46428711,42.29,41.92,2009-01-08,ILCG,ISHARES TRUST,6726.0,246.0
46428711,41.3,42.4,2009-01-09,ILCG,ISHARES TRUST,6726.0,246.0
46428711,40.5,41.19,2009-01-12,ILCG,ISHARES TRUST,6726.0,246.0
46428711,40.76,40.34,2009-01-13,ILCG,ISHARES TRUST,6726.0,246.0
46428711,39.54,40.0,2009-01-14,ILCG,ISHARES TRUST,6726.0,246.0
46428711,39.66,39.42,2009-01-15,ILCG,ISHARES TRUST,6726.0,246.0
46428711,40.16,40.2,2009-01-16,ILCG,ISHARES TRUST,6726.0,246.0
46428711,38.31,39.9,2009-01-20,ILCG,ISHARES TRUST,6726.0,246.0
46428711,39.96,38.9,2009-01-21,ILCG,ISHARES TRUST,6726.0,246.0
46428711,39.47,39.1,2009-01-22,ILCG,ISHARES TRUST,6726.0,246.0
46428711,39.96,38.72,2009-01-23,ILCG,ISHARES TRUST,6726.0,246.0
46428711,40.14,39.92,2009-01-26,ILCG,ISHARES TRUST,6726.0,246.0
46428711,40.63,40.44,2009-01-27,ILCG,ISHARES TRUST,6726.0,246.0
46428711,41.69,41.22,2009-01-28,ILCG,ISHARES TRUST,6726.0,246.0
46428711,40.7699,41.11,2009-01-29,ILCG,ISHARES TRUST,6726.0,246.0
46428711,40.07,40.99,2009-01-30,ILCG,ISHARES TRUST,6726.0,246.0
46428711,40.36,39.7318,2009-02-02,ILCG,ISHARES TRUST,6726.0,246.0
46428711,41.11,40.47,2009-02-03,ILCG,ISHARES TRUST,6726.0,246.0
46428711,41.16,41.16,2009-02-04,ILCG,ISHARES TRUST,6726.0,246.0
46428711,42.08,40.71,2009-02-05,ILCG,ISHARES TRUST,6726.0,246.0
46428711,43.0,42.06,2009-02-06,ILCG,ISHARES TRUST,6726.0,246.0
46428711,42.95,42.87,2009-02-09,ILCG,ISHARES TRUST,6726.0,246.0
46428711,41.34,42.51,2009-02-10,ILCG,ISHARES TRUST,6726.0,246.0
46428711,41.48,41.44,2009-02-11,ILCG,ISHARES TRUST,6726.0,246.0
46428711,41.96,41.07,2009-02-12,ILCG,ISHARES TRUST,6726.0,246.0
46428711,41.8,42.02,2009-02-13,ILCG,ISHARES TRUST,6726.0,246.0
46428711,40.26,40.28,2009-02-17,ILCG,ISHARES TRUST,6726.0,246.0
46428711,40.3492,40.5,2009-02-18,ILCG,ISHARES TRUST,6726.0,246.0
46428711,40.01,40.6,2009-02-19,ILCG,ISHARES TRUST,6726.0,246.0
46428711,39.96,39.41,2009-02-20,ILCG,ISHARES TRUST,6726.0,246.0
46428711,38.5668,40.16,2009-02-23,ILCG,ISHARES TRUST,6726.0,246.0
46428711,39.74,38.74,2009-02-24,ILCG,ISHARES TRUST,6726.0,246.0
46428711,39.38,39.5,2009-02-25,ILCG,ISHARES TRUST,6726.0,246.0
46428711,38.5,39.64,2009-02-26,ILCG,ISHARES TRUST,6726.0,246.0
46428711,37.98,37.81,2009-02-27,ILCG,ISHARES TRUST,6726.0,246.0
46428711,36.51,37.1,2009-03-02,ILCG,ISHARES TRUST,6726.0,246.0
46428711,36.55,36.87,2009-03-03,ILCG,ISHARES TRUST,6726.0,246.0
46428711,37.46,36.99,2009-03-04,ILCG,ISHARES TRUST,6726.0,246.0
46428711,36.12,36.8,2009-03-05,ILCG,ISHARES TRUST,6726.0,246.0
46428711,36.114,36.28,2009-03-06,ILCG,ISHARES TRUST,6726.0,246.0
46428711,35.68,35.72,2009-03-09,ILCG,ISHARES TRUST,6726.0,246.0
46428711,37.39,36.17,2009-03-10,ILCG,ISHARES TRUST,6726.0,246.0
46428711,37.79,37.67,2009-03-11,ILCG,ISHARES TRUST,6726.0,246.0
46428711,38.9,37.62,2009-03-12,ILCG,ISHARES TRUST,6726.0,246.0
46428711,39.06,39.02,2009-03-13,ILCG,ISHARES TRUST,6726.0,246.0
46428711,38.816,39.47,2009-03-16,ILCG,ISHARES TRUST,6726.0,246.0
46428711,39.88,38.71,2009-03-17,ILCG,ISHARES TRUST,6726.0,246.0
46428711,40.34,39.73,2009-03-18,ILCG,ISHARES TRUST,6726.0,246.0
46428711,40.13,41.02,2009-03-19,ILCG,ISHARES TRUST,6726.0,246.0
