cusip,prc,openprc,date,numtrd,htick,hcomnam,hsiccd,numshr
89291810,4.25,4.72,2009-01-02,572,TACT,TRANSACT TECHNOLOGIES INC,3577.0,235.0
89291810,4.06,4.25,2009-01-05,174,TACT,TRANSACT TECHNOLOGIES INC,3577.0,235.0
89291810,4.17,4.23,2009-01-06,301,TACT,TRANSACT TECHNOLOGIES INC,3577.0,235.0
89291810,4.14,4.16,2009-01-07,279,TACT,TRANSACT TECHNOLOGIES INC,3577.0,235.0
89291810,4.33,4.26,2009-01-08,117,TACT,TRANSACT TECHNOLOGIES INC,3577.0,235.0
89291810,4.26,4.4,2009-01-09,84,TACT,TRANSACT TECHNOLOGIES INC,3577.0,235.0
89291810,4.24,4.44,2009-01-12,172,TACT,TRANSACT TECHNOLOGIES INC,3577.0,235.0
89291810,4.02,4.17,2009-01-13,123,TACT,TRANSACT TECHNOLOGIES INC,3577.0,235.0
89291810,4.21,4.01,2009-01-14,177,TACT,TRANSACT TECHNOLOGIES INC,3577.0,235.0
89291810,3.95,4.04,2009-01-15,170,TACT,TRANSACT TECHNOLOGIES INC,3577.0,235.0
89291810,4.15,4.1,2009-01-16,107,TACT,TRANSACT TECHNOLOGIES INC,3577.0,235.0
89291810,4.07,4.01,2009-01-20,180,TACT,TRANSACT TECHNOLOGIES INC,3577.0,235.0
89291810,4.06,3.96,2009-01-21,60,TACT,TRANSACT TECHNOLOGIES INC,3577.0,235.0
89291810,3.98,4.05,2009-01-22,58,TACT,TRANSACT TECHNOLOGIES INC,3577.0,235.0
89291810,3.87,3.87,2009-01-23,70,TACT,TRANSACT TECHNOLOGIES INC,3577.0,235.0
89291810,3.84,3.85,2009-01-26,60,TACT,TRANSACT TECHNOLOGIES INC,3577.0,235.0
89291810,4.03,3.98,2009-01-27,67,TACT,TRANSACT TECHNOLOGIES INC,3577.0,235.0
89291810,3.93,4.24,2009-01-28,73,TACT,TRANSACT TECHNOLOGIES INC,3577.0,235.0
89291810,4.02,4.03,2009-01-29,65,TACT,TRANSACT TECHNOLOGIES INC,3577.0,235.0
89291810,3.92,4.13,2009-01-30,41,TACT,TRANSACT TECHNOLOGIES INC,3577.0,235.0
89291810,3.72,3.9,2009-02-02,362,TACT,TRANSACT TECHNOLOGIES INC,3577.0,235.0
89291810,3.64,3.83,2009-02-03,143,TACT,TRANSACT TECHNOLOGIES INC,3577.0,235.0
89291810,3.34,3.59,2009-02-04,184,TACT,TRANSACT TECHNOLOGIES INC,3577.0,235.0
89291810,2.93,3.23,2009-02-05,680,TACT,TRANSACT TECHNOLOGIES INC,3577.0,235.0
89291810,3.15,2.99,2009-02-06,173,TACT,TRANSACT TECHNOLOGIES INC,3577.0,235.0
89291810,3.02,2.99,2009-02-09,158,TACT,TRANSACT TECHNOLOGIES INC,3577.0,235.0
89291810,3.01,3.02,2009-02-10,75,TACT,TRANSACT TECHNOLOGIES INC,3577.0,235.0
89291810,3.1,3.0,2009-02-11,116,TACT,TRANSACT TECHNOLOGIES INC,3577.0,235.0
89291810,2.91,2.99,2009-02-12,219,TACT,TRANSACT TECHNOLOGIES INC,3577.0,235.0
89291810,2.74,2.97,2009-02-13,241,TACT,TRANSACT TECHNOLOGIES INC,3577.0,235.0
89291810,2.65,2.75,2009-02-17,168,TACT,TRANSACT TECHNOLOGIES INC,3577.0,235.0
89291810,2.86,2.73,2009-02-18,205,TACT,TRANSACT TECHNOLOGIES INC,3577.0,235.0
89291810,2.82,2.8,2009-02-19,152,TACT,TRANSACT TECHNOLOGIES INC,3577.0,235.0
89291810,2.72,2.7,2009-02-20,289,TACT,TRANSACT TECHNOLOGIES INC,3577.0,235.0
89291810,2.6201,2.72,2009-02-23,127,TACT,TRANSACT TECHNOLOGIES INC,3577.0,235.0
89291810,2.61,2.58,2009-02-24,107,TACT,TRANSACT TECHNOLOGIES INC,3577.0,235.0
89291810,2.42,2.65,2009-02-25,247,TACT,TRANSACT TECHNOLOGIES INC,3577.0,235.0
89291810,2.31,2.51,2009-02-26,308,TACT,TRANSACT TECHNOLOGIES INC,3577.0,235.0
89291810,2.5,2.38,2009-02-27,168,TACT,TRANSACT TECHNOLOGIES INC,3577.0,235.0
89291810,2.26,2.43,2009-03-02,58,TACT,TRANSACT TECHNOLOGIES INC,3577.0,235.0
89291810,2.26,2.36,2009-03-03,75,TACT,TRANSACT TECHNOLOGIES INC,3577.0,235.0
89291810,2.24,2.29,2009-03-04,96,TACT,TRANSACT TECHNOLOGIES INC,3577.0,235.0
89291810,2.18,2.18,2009-03-05,68,TACT,TRANSACT TECHNOLOGIES INC,3577.0,235.0
89291810,2.04,2.16,2009-03-06,133,TACT,TRANSACT TECHNOLOGIES INC,3577.0,235.0
89291810,1.97,2.12,2009-03-09,131,TACT,TRANSACT TECHNOLOGIES INC,3577.0,235.0
89291810,2.3484,2.15,2009-03-10,216,TACT,TRANSACT TECHNOLOGIES INC,3577.0,235.0
89291810,1.95,2.33,2009-03-11,1352,TACT,TRANSACT TECHNOLOGIES INC,3577.0,235.0
89291810,2.01,1.88,2009-03-12,394,TACT,TRANSACT TECHNOLOGIES INC,3577.0,235.0
89291810,2.24,2.01,2009-03-13,321,TACT,TRANSACT TECHNOLOGIES INC,3577.0,235.0
89291810,2.205,2.32,2009-03-16,170,TACT,TRANSACT TECHNOLOGIES INC,3577.0,235.0
89291810,2.31,2.11,2009-03-17,317,TACT,TRANSACT TECHNOLOGIES INC,3577.0,235.0
89291810,2.34,2.4099,2009-03-18,94,TACT,TRANSACT TECHNOLOGIES INC,3577.0,235.0
89291810,2.28,2.38,2009-03-19,91,TACT,TRANSACT TECHNOLOGIES INC,3577.0,235.0
89291810,2.4,2.37,2009-03-20,55,TACT,TRANSACT TECHNOLOGIES INC,3577.0,235.0
