cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
46428765,50.22,49.74,2009-01-02,IWM,ISHARES TRUST,6726.0,294.0
46428765,50.4,50.49,2009-01-05,IWM,ISHARES TRUST,6726.0,294.0
46428765,51.25,50.82,2009-01-06,IWM,ISHARES TRUST,6726.0,294.0
46428765,49.74,50.27,2009-01-07,IWM,ISHARES TRUST,6726.0,294.0
46428765,49.98,49.38,2009-01-08,IWM,ISHARES TRUST,6726.0,294.0
46428765,48.13,50.11,2009-01-09,IWM,ISHARES TRUST,6726.0,294.0
46428765,46.7,47.95,2009-01-12,IWM,ISHARES TRUST,6726.0,294.0
46428765,47.32,46.63,2009-01-13,IWM,ISHARES TRUST,6726.0,294.0
46428765,45.24,46.32,2009-01-14,IWM,ISHARES TRUST,6726.0,294.0
46428765,45.97,45.31,2009-01-15,IWM,ISHARES TRUST,6726.0,294.0
46428765,46.48,46.98,2009-01-16,IWM,ISHARES TRUST,6726.0,294.0
46428765,43.33,45.88,2009-01-20,IWM,ISHARES TRUST,6726.0,294.0
46428765,45.49,44.0,2009-01-21,IWM,ISHARES TRUST,6726.0,294.0
46428765,44.17,44.52,2009-01-22,IWM,ISHARES TRUST,6726.0,294.0
46428765,44.39,43.04,2009-01-23,IWM,ISHARES TRUST,6726.0,294.0
46428765,44.89,44.36,2009-01-26,IWM,ISHARES TRUST,6726.0,294.0
46428765,45.38,45.07,2009-01-27,IWM,ISHARES TRUST,6726.0,294.0
46428765,47.25,46.25,2009-01-28,IWM,ISHARES TRUST,6726.0,294.0
46428765,45.4,46.59,2009-01-29,IWM,ISHARES TRUST,6726.0,294.0
46428765,44.48,45.76,2009-01-30,IWM,ISHARES TRUST,6726.0,294.0
46428765,44.84,43.66,2009-02-02,IWM,ISHARES TRUST,6726.0,294.0
46428765,45.16,45.28,2009-02-03,IWM,ISHARES TRUST,6726.0,294.0
46428765,44.83,45.21,2009-02-04,IWM,ISHARES TRUST,6726.0,294.0
46428765,45.35,44.44,2009-02-05,IWM,ISHARES TRUST,6726.0,294.0
46428765,46.96,45.42,2009-02-06,IWM,ISHARES TRUST,6726.0,294.0
46428765,46.75,46.79,2009-02-09,IWM,ISHARES TRUST,6726.0,294.0
46428765,44.59,46.39,2009-02-10,IWM,ISHARES TRUST,6726.0,294.0
46428765,44.76,44.88,2009-02-11,IWM,ISHARES TRUST,6726.0,294.0
46428765,45.14,44.1,2009-02-12,IWM,ISHARES TRUST,6726.0,294.0
46428765,44.67,45.08,2009-02-13,IWM,ISHARES TRUST,6726.0,294.0
46428765,42.9,43.0,2009-02-17,IWM,ISHARES TRUST,6726.0,294.0
46428765,42.29,43.25,2009-02-18,IWM,ISHARES TRUST,6726.0,294.0
46428765,41.7,42.78,2009-02-19,IWM,ISHARES TRUST,6726.0,294.0
46428765,41.14,40.9,2009-02-20,IWM,ISHARES TRUST,6726.0,294.0
46428765,39.56,41.38,2009-02-23,IWM,ISHARES TRUST,6726.0,294.0
46428765,41.02,40.04,2009-02-24,IWM,ISHARES TRUST,6726.0,294.0
46428765,40.17,40.84,2009-02-25,IWM,ISHARES TRUST,6726.0,294.0
46428765,39.42,40.59,2009-02-26,IWM,ISHARES TRUST,6726.0,294.0
46428765,39.15,38.72,2009-02-27,IWM,ISHARES TRUST,6726.0,294.0
46428765,36.94,38.26,2009-03-02,IWM,ISHARES TRUST,6726.0,294.0
46428765,36.24,37.43,2009-03-03,IWM,ISHARES TRUST,6726.0,294.0
46428765,36.99,36.79,2009-03-04,IWM,ISHARES TRUST,6726.0,294.0
46428765,35.02,36.25,2009-03-05,IWM,ISHARES TRUST,6726.0,294.0
46428765,35.2,35.4,2009-03-06,IWM,ISHARES TRUST,6726.0,294.0
46428765,34.39,34.73,2009-03-09,IWM,ISHARES TRUST,6726.0,294.0
46428765,36.63,35.25,2009-03-10,IWM,ISHARES TRUST,6726.0,294.0
46428765,36.68,37.08,2009-03-11,IWM,ISHARES TRUST,6726.0,294.0
46428765,38.96,36.53,2009-03-12,IWM,ISHARES TRUST,6726.0,294.0
46428765,39.37,39.33,2009-03-13,IWM,ISHARES TRUST,6726.0,294.0
46428765,38.66,39.81,2009-03-16,IWM,ISHARES TRUST,6726.0,294.0
46428765,40.45,38.73,2009-03-17,IWM,ISHARES TRUST,6726.0,294.0
46428765,41.85,40.26,2009-03-18,IWM,ISHARES TRUST,6726.0,294.0
46428765,41.41,42.45,2009-03-19,IWM,ISHARES TRUST,6726.0,294.0
46428765,39.98,41.8,2009-03-20,IWM,ISHARES TRUST,6726.0,294.0
46428765,43.38,41.34,2009-03-23,IWM,ISHARES TRUST,6726.0,294.0
46428765,41.56,42.7,2009-03-24,IWM,ISHARES TRUST,6726.0,294.0
46428765,42.73,41.95,2009-03-25,IWM,ISHARES TRUST,6726.0,294.0
46428765,44.38,43.32,2009-03-26,IWM,ISHARES TRUST,6726.0,294.0
46428765,42.89,43.62,2009-03-27,IWM,ISHARES TRUST,6726.0,294.0
46428765,41.66,41.65,2009-03-30,IWM,ISHARES TRUST,6726.0,294.0
46428765,42.05,42.17,2009-03-31,IWM,ISHARES TRUST,6726.0,294.0
46428765,42.78,41.34,2009-04-01,IWM,ISHARES TRUST,6726.0,294.0
46428765,44.92,44.12,2009-04-02,IWM,ISHARES TRUST,6726.0,294.0
46428765,45.63,44.86,2009-04-03,IWM,ISHARES TRUST,6726.0,294.0
46428765,44.85,44.99,2009-04-06,IWM,ISHARES TRUST,6726.0,294.0
46428765,43.26,44.08,2009-04-07,IWM,ISHARES TRUST,6726.0,294.0
46428765,44.06,43.51,2009-04-08,IWM,ISHARES TRUST,6726.0,294.0
46428765,46.64,45.28,2009-04-09,IWM,ISHARES TRUST,6726.0,294.0
46428765,46.66,46.26,2009-04-13,IWM,ISHARES TRUST,6726.0,294.0
46428765,45.31,45.96,2009-04-14,IWM,ISHARES TRUST,6726.0,294.0
46428765,46.0,45.01,2009-04-15,IWM,ISHARES TRUST,6726.0,294.0
46428765,47.33,46.53,2009-04-16,IWM,ISHARES TRUST,6726.0,294.0
46428765,47.75,47.43,2009-04-17,IWM,ISHARES TRUST,6726.0,294.0
46428765,45.3,46.77,2009-04-20,IWM,ISHARES TRUST,6726.0,294.0
46428765,46.87,45.06,2009-04-21,IWM,ISHARES TRUST,6726.0,294.0
46428765,46.86,46.19,2009-04-22,IWM,ISHARES TRUST,6726.0,294.0
46428765,46.75,47.1,2009-04-23,IWM,ISHARES TRUST,6726.0,294.0
46428765,47.62,47.12,2009-04-24,IWM,ISHARES TRUST,6726.0,294.0
46428765,47.11,46.84,2009-04-27,IWM,ISHARES TRUST,6726.0,294.0
46428765,47.18,46.54,2009-04-28,IWM,ISHARES TRUST,6726.0,294.0
46428765,48.97,47.81,2009-04-29,IWM,ISHARES TRUST,6726.0,294.0
46428765,48.52,49.75,2009-04-30,IWM,ISHARES TRUST,6726.0,294.0
46428765,48.82,48.65,2009-05-01,IWM,ISHARES TRUST,6726.0,294.0
46428765,50.6,49.28,2009-05-04,IWM,ISHARES TRUST,6726.0,294.0
46428765,50.35,50.38,2009-05-05,IWM,ISHARES TRUST,6726.0,294.0
46428765,50.49,50.93,2009-05-06,IWM,ISHARES TRUST,6726.0,294.0
46428765,49.3,51.25,2009-05-07,IWM,ISHARES TRUST,6726.0,294.0
46428765,51.01,50.15,2009-05-08,IWM,ISHARES TRUST,6726.0,294.0
46428765,50.26,50.05,2009-05-11,IWM,ISHARES TRUST,6726.0,294.0
46428765,49.55,50.54,2009-05-12,IWM,ISHARES TRUST,6726.0,294.0
46428765,47.28,48.7,2009-05-13,IWM,ISHARES TRUST,6726.0,294.0
46428765,47.94,47.39,2009-05-14,IWM,ISHARES TRUST,6726.0,294.0
46428765,47.76,47.88,2009-05-15,IWM,ISHARES TRUST,6726.0,294.0
46428765,49.36,48.3,2009-05-18,IWM,ISHARES TRUST,6726.0,294.0
46428765,49.38,49.37,2009-05-19,IWM,ISHARES TRUST,6726.0,294.0
46428765,48.92,49.83,2009-05-20,IWM,ISHARES TRUST,6726.0,294.0
46428765,48.29,48.27,2009-05-21,IWM,ISHARES TRUST,6726.0,294.0
46428765,47.79,48.54,2009-05-22,IWM,ISHARES TRUST,6726.0,294.0
46428765,50.07,47.37,2009-05-26,IWM,ISHARES TRUST,6726.0,294.0
46428765,49.1,49.76,2009-05-27,IWM,ISHARES TRUST,6726.0,294.0
46428765,49.16,49.56,2009-05-28,IWM,ISHARES TRUST,6726.0,294.0
46428765,50.17,49.39,2009-05-29,IWM,ISHARES TRUST,6726.0,294.0
46428765,52.13,51.36,2009-06-01,IWM,ISHARES TRUST,6726.0,294.0
46428765,52.78,51.96,2009-06-02,IWM,ISHARES TRUST,6726.0,294.0
46428765,52.43,52.31,2009-06-03,IWM,ISHARES TRUST,6726.0,294.0
46428765,53.18,52.75,2009-06-04,IWM,ISHARES TRUST,6726.0,294.0
46428765,53.2,53.69,2009-06-05,IWM,ISHARES TRUST,6726.0,294.0
46428765,52.57,52.8,2009-06-08,IWM,ISHARES TRUST,6726.0,294.0
46428765,52.81,52.84,2009-06-09,IWM,ISHARES TRUST,6726.0,294.0
46428765,52.6,53.38,2009-06-10,IWM,ISHARES TRUST,6726.0,294.0
46428765,52.62,52.65,2009-06-11,IWM,ISHARES TRUST,6726.0,294.0
46428765,52.78,52.28,2009-06-12,IWM,ISHARES TRUST,6726.0,294.0
46428765,51.36,52.03,2009-06-15,IWM,ISHARES TRUST,6726.0,294.0
46428765,50.5,51.75,2009-06-16,IWM,ISHARES TRUST,6726.0,294.0
46428765,50.77,50.5,2009-06-17,IWM,ISHARES TRUST,6726.0,294.0
46428765,51.0,50.77,2009-06-18,IWM,ISHARES TRUST,6726.0,294.0
46428765,51.31,51.72,2009-06-19,IWM,ISHARES TRUST,6726.0,294.0
46428765,49.49,50.99,2009-06-22,IWM,ISHARES TRUST,6726.0,294.0
46428765,49.09,49.74,2009-06-23,IWM,ISHARES TRUST,6726.0,294.0
46428765,49.62,49.57,2009-06-24,IWM,ISHARES TRUST,6726.0,294.0
46428765,51.053,49.15,2009-06-25,IWM,ISHARES TRUST,6726.0,294.0
46428765,51.23,50.79,2009-06-26,IWM,ISHARES TRUST,6726.0,294.0
46428765,51.23,51.33,2009-06-29,IWM,ISHARES TRUST,6726.0,294.0
46428765,51.08,51.24,2009-06-30,IWM,ISHARES TRUST,6726.0,294.0
46428765,51.87,51.35,2009-07-01,IWM,ISHARES TRUST,6726.0,294.0
46428765,49.91,50.88,2009-07-02,IWM,ISHARES TRUST,6726.0,294.0
46428765,49.47,49.47,2009-07-06,IWM,ISHARES TRUST,6726.0,294.0
