cusip,prc,openprc,date,numtrd,htick,hcomnam,hsiccd,numshr
33733B10,16.0,15.69,2009-01-02,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,16.12,16.84,2009-01-05,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,16.3,16.25,2009-01-06,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,15.74,15.8146,2009-01-07,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,15.81,15.51,2009-01-08,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,15.35,15.82,2009-01-09,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,14.89,15.37,2009-01-12,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,15.02,14.96,2009-01-13,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,14.44,14.75,2009-01-14,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,14.5199,14.51,2009-01-15,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,14.93,14.88,2009-01-16,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,13.89,14.265,2009-01-20,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,14.55,13.9496,2009-01-21,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,14.22,14.21,2009-01-22,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,14.28,13.9544,2009-01-23,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,14.48,14.5416,2009-01-26,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,14.73,14.7,2009-01-27,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,15.14,15.041,2009-01-28,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,14.68,15.02,2009-01-29,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,14.2,14.4501,2009-01-30,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,14.2,13.93,2009-02-02,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,14.36,14.27,2009-02-03,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,14.42,14.813,2009-02-04,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,14.49,14.36,2009-02-05,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,14.97,14.53,2009-02-06,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,14.95,14.92,2009-02-09,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,14.45,15.05,2009-02-10,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,14.368,14.57,2009-02-11,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,14.41,14.17,2009-02-12,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,14.5376,14.43,2009-02-13,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,13.88,14.01,2009-02-17,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,13.68,13.88,2009-02-18,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,13.46,13.65,2009-02-19,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,13.26,13.21,2009-02-20,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,12.65,13.36,2009-02-23,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,13.1044,12.81,2009-02-24,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,12.9,13.125,2009-02-25,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,12.66,13.0,2009-02-26,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,12.75,12.61,2009-02-27,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,11.996,12.376,2009-03-02,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,11.92,12.05,2009-03-03,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,12.3001,11.86,2009-03-04,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,11.7,11.96,2009-03-05,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,11.58,11.66,2009-03-06,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,11.37,11.61,2009-03-09,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,12.03,11.56,2009-03-10,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,12.29,12.19,2009-03-11,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,12.63,11.91,2009-03-12,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,12.81,12.77,2009-03-13,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,12.71,12.9,2009-03-16,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,13.24,12.7,2009-03-17,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,13.5,13.208,2009-03-18,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,13.52,13.6,2009-03-19,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,13.1,13.5,2009-03-20,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,14.05,13.42,2009-03-23,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,13.7,13.95,2009-03-24,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,13.74,13.8005,2009-03-25,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,14.25,13.99,2009-03-26,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,13.95,14.0004,2009-03-27,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,13.51,13.58,2009-03-30,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,13.68,13.51,2009-03-31,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,13.79,13.3701,2009-04-01,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,14.37,14.12,2009-04-02,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,14.5126,14.4412,2009-04-03,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,14.3699,14.47,2009-04-06,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,13.91,14.12,2009-04-07,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,14.07,14.1,2009-04-08,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,14.78,14.51,2009-04-09,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,14.64,14.62,2009-04-13,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,14.4,14.32,2009-04-14,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,14.55,14.47,2009-04-15,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,14.97,14.66,2009-04-16,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,15.1581,15.0,2009-04-17,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,14.3,14.82,2009-04-20,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,14.75,14.2501,2009-04-21,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,14.93,14.78,2009-04-22,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,14.9,14.94,2009-04-23,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,15.34,15.01,2009-04-24,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,15.18,15.15,2009-04-27,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,15.23,14.98,2009-04-28,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,15.74,15.4,2009-04-29,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,15.73,15.92,2009-04-30,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,15.76,15.67,2009-05-01,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,16.13,15.78,2009-05-04,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,15.93,16.13,2009-05-05,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,16.02,16.2,2009-05-06,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,15.7,15.98,2009-05-07,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,16.27,16.19,2009-05-08,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,15.79,16.01,2009-05-11,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,15.66,15.92,2009-05-12,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,15.0,15.35,2009-05-13,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,15.1388,14.99,2009-05-14,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,15.09,15.13,2009-05-15,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,15.64,15.32,2009-05-18,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,15.75,15.71,2009-05-19,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,15.63,15.93,2009-05-20,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,15.24,15.38,2009-05-21,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,15.17,15.29,2009-05-22,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,15.7923,15.3,2009-05-26,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,15.48,15.67,2009-05-27,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,15.51,15.54,2009-05-28,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,15.7,15.49,2009-05-29,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,16.27,16.0182,2009-06-01,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,16.48,16.24,2009-06-02,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,16.17,16.26,2009-06-03,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,16.54,16.27,2009-06-04,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,16.56,16.68,2009-06-05,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,16.5116,16.46,2009-06-08,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,16.66,16.6474,2009-06-09,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,16.55,16.73,2009-06-10,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,16.77,16.68,2009-06-11,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,16.72,16.58,2009-06-12,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,16.15,16.38,2009-06-15,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,15.8981,16.35,2009-06-16,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,15.93,15.85,2009-06-17,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
33733B10,16.01,15.93,2009-06-18,,FIW,FIRST TRUST I S E WATER INDEX FD,6726.0,201.0
