cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
93882410,15.03,14.52,2009-01-02,WAFD,WAFD INC,6035.0,303.0
93882410,14.76,14.99,2009-01-05,WAFD,WAFD INC,6035.0,303.0
93882410,14.83,14.8,2009-01-06,WAFD,WAFD INC,6035.0,303.0
93882410,13.53,14.63,2009-01-07,WAFD,WAFD INC,6035.0,303.0
93882410,13.58,13.39,2009-01-08,WAFD,WAFD INC,6035.0,303.0
93882410,13.14,13.63,2009-01-09,WAFD,WAFD INC,6035.0,303.0
93882410,12.9,13.15,2009-01-12,WAFD,WAFD INC,6035.0,303.0
93882410,12.86,12.86,2009-01-13,WAFD,WAFD INC,6035.0,303.0
93882410,12.14,12.51,2009-01-14,WAFD,WAFD INC,6035.0,303.0
93882410,12.48,12.17,2009-01-15,WAFD,WAFD INC,6035.0,303.0
93882410,12.48,12.68,2009-01-16,WAFD,WAFD INC,6035.0,303.0
93882410,12.26,12.7,2009-01-20,WAFD,WAFD INC,6035.0,303.0
93882410,12.46,12.26,2009-01-21,WAFD,WAFD INC,6035.0,303.0
93882410,12.04,12.11,2009-01-22,WAFD,WAFD INC,6035.0,303.0
93882410,12.43,12.01,2009-01-23,WAFD,WAFD INC,6035.0,303.0
93882410,12.24,12.38,2009-01-26,WAFD,WAFD INC,6035.0,303.0
93882410,12.75,12.31,2009-01-27,WAFD,WAFD INC,6035.0,303.0
93882410,13.36,13.0,2009-01-28,WAFD,WAFD INC,6035.0,303.0
93882410,12.54,13.12,2009-01-29,WAFD,WAFD INC,6035.0,303.0
93882410,12.28,12.64,2009-01-30,WAFD,WAFD INC,6035.0,303.0
93882410,12.34,12.25,2009-02-02,WAFD,WAFD INC,6035.0,303.0
93882410,12.28,12.46,2009-02-03,WAFD,WAFD INC,6035.0,303.0
93882410,12.07,12.23,2009-02-04,WAFD,WAFD INC,6035.0,303.0
93882410,12.59,12.04,2009-02-05,WAFD,WAFD INC,6035.0,303.0
93882410,13.19,12.69,2009-02-06,WAFD,WAFD INC,6035.0,303.0
93882410,13.53,13.19,2009-02-09,WAFD,WAFD INC,6035.0,303.0
93882410,12.49,13.35,2009-02-10,WAFD,WAFD INC,6035.0,303.0
93882410,12.82,12.72,2009-02-11,WAFD,WAFD INC,6035.0,303.0
93882410,12.85,12.6,2009-02-12,WAFD,WAFD INC,6035.0,303.0
93882410,12.7,12.82,2009-02-13,WAFD,WAFD INC,6035.0,303.0
