cusip,prc,openprc,date,numtrd,shrout,htick,hcomnam,hsiccd
20451N10,60.89,58.75,2009-01-02,,32425.0,CMP,COMPASS MINERALS INTL INC,1479.0
20451N10,63.12,61.03,2009-01-05,,32425.0,CMP,COMPASS MINERALS INTL INC,1479.0
20451N10,64.3,64.96,2009-01-06,,32425.0,CMP,COMPASS MINERALS INTL INC,1479.0
20451N10,61.37,64.01,2009-01-07,,32425.0,CMP,COMPASS MINERALS INTL INC,1479.0
20451N10,63.37,60.98,2009-01-08,,32425.0,CMP,COMPASS MINERALS INTL INC,1479.0
20451N10,61.27,63.04,2009-01-09,,32425.0,CMP,COMPASS MINERALS INTL INC,1479.0
20451N10,59.02,60.99,2009-01-12,,32425.0,CMP,COMPASS MINERALS INTL INC,1479.0
20451N10,59.75,59.0,2009-01-13,,32425.0,CMP,COMPASS MINERALS INTL INC,1479.0
20451N10,57.01,58.46,2009-01-14,,32425.0,CMP,COMPASS MINERALS INTL INC,1479.0
20451N10,51.01,55.23,2009-01-15,,32425.0,CMP,COMPASS MINERALS INTL INC,1479.0
20451N10,51.36,51.8,2009-01-16,,32425.0,CMP,COMPASS MINERALS INTL INC,1479.0
20451N10,46.51,50.75,2009-01-20,,32425.0,CMP,COMPASS MINERALS INTL INC,1479.0
20451N10,52.83,46.99,2009-01-21,,32425.0,CMP,COMPASS MINERALS INTL INC,1479.0
20451N10,53.8,51.7,2009-01-22,,32425.0,CMP,COMPASS MINERALS INTL INC,1479.0
20451N10,53.8,51.5,2009-01-23,,32425.0,CMP,COMPASS MINERALS INTL INC,1479.0
20451N10,54.34,54.05,2009-01-26,,32425.0,CMP,COMPASS MINERALS INTL INC,1479.0
20451N10,54.59,54.7,2009-01-27,,32425.0,CMP,COMPASS MINERALS INTL INC,1479.0
20451N10,56.37,55.93,2009-01-28,,32425.0,CMP,COMPASS MINERALS INTL INC,1479.0
20451N10,57.25,56.0,2009-01-29,,32425.0,CMP,COMPASS MINERALS INTL INC,1479.0
20451N10,60.17,58.41,2009-01-30,,32425.0,CMP,COMPASS MINERALS INTL INC,1479.0
20451N10,63.2,59.66,2009-02-02,,32425.0,CMP,COMPASS MINERALS INTL INC,1479.0
20451N10,62.65,62.82,2009-02-03,,32425.0,CMP,COMPASS MINERALS INTL INC,1479.0
20451N10,61.88,62.86,2009-02-04,,32425.0,CMP,COMPASS MINERALS INTL INC,1479.0
20451N10,63.45,61.27,2009-02-05,,32425.0,CMP,COMPASS MINERALS INTL INC,1479.0
20451N10,63.9,63.58,2009-02-06,,32425.0,CMP,COMPASS MINERALS INTL INC,1479.0
20451N10,63.01,65.0,2009-02-09,,32425.0,CMP,COMPASS MINERALS INTL INC,1479.0
20451N10,57.94,61.04,2009-02-10,,32425.0,CMP,COMPASS MINERALS INTL INC,1479.0
20451N10,60.41,58.37,2009-02-11,,32425.0,CMP,COMPASS MINERALS INTL INC,1479.0
20451N10,61.36,59.63,2009-02-12,,32425.0,CMP,COMPASS MINERALS INTL INC,1479.0
20451N10,59.14,62.7,2009-02-13,,32425.0,CMP,COMPASS MINERALS INTL INC,1479.0
20451N10,58.98,57.45,2009-02-17,,32425.0,CMP,COMPASS MINERALS INTL INC,1479.0
20451N10,59.27,59.18,2009-02-18,,32425.0,CMP,COMPASS MINERALS INTL INC,1479.0
