cusip,prc,openprc,date,htick,hcomnam,hsiccd,numshr
69371810,30.88,28.61,2009-01-02,PCAR,PACCAR INC,3711.0,296.0
69371810,30.68,30.53,2009-01-05,PCAR,PACCAR INC,3711.0,296.0
69371810,32.04,30.94,2009-01-06,PCAR,PACCAR INC,3711.0,296.0
69371810,30.98,31.49,2009-01-07,PCAR,PACCAR INC,3711.0,296.0
69371810,31.99,31.12,2009-01-08,PCAR,PACCAR INC,3711.0,296.0
69371810,30.13,32.49,2009-01-09,PCAR,PACCAR INC,3711.0,296.0
69371810,29.2,29.4,2009-01-12,PCAR,PACCAR INC,3711.0,296.0
69371810,29.08,29.1,2009-01-13,PCAR,PACCAR INC,3711.0,296.0
69371810,27.47,28.46,2009-01-14,PCAR,PACCAR INC,3711.0,296.0
69371810,28.2,27.48,2009-01-15,PCAR,PACCAR INC,3711.0,296.0
69371810,27.88,28.71,2009-01-16,PCAR,PACCAR INC,3711.0,296.0
69371810,26.15,27.9,2009-01-20,PCAR,PACCAR INC,3711.0,296.0
69371810,27.23,26.65,2009-01-21,PCAR,PACCAR INC,3711.0,296.0
69371810,26.0,26.32,2009-01-22,PCAR,PACCAR INC,3711.0,296.0
69371810,25.81,25.5,2009-01-23,PCAR,PACCAR INC,3711.0,296.0
69371810,25.23,25.7,2009-01-26,PCAR,PACCAR INC,3711.0,296.0
69371810,25.26,25.34,2009-01-27,PCAR,PACCAR INC,3711.0,296.0
69371810,26.55,25.65,2009-01-28,PCAR,PACCAR INC,3711.0,296.0
69371810,24.92,26.2,2009-01-29,PCAR,PACCAR INC,3711.0,296.0
69371810,26.39,26.81,2009-01-30,PCAR,PACCAR INC,3711.0,296.0
69371810,26.66,25.54,2009-02-02,PCAR,PACCAR INC,3711.0,296.0
69371810,27.57,26.58,2009-02-03,PCAR,PACCAR INC,3711.0,296.0
69371810,27.55,27.45,2009-02-04,PCAR,PACCAR INC,3711.0,296.0
69371810,28.94,27.02,2009-02-05,PCAR,PACCAR INC,3711.0,296.0
69371810,30.81,29.1,2009-02-06,PCAR,PACCAR INC,3711.0,296.0
69371810,31.02,30.55,2009-02-09,PCAR,PACCAR INC,3711.0,296.0
69371810,29.72,30.59,2009-02-10,PCAR,PACCAR INC,3711.0,296.0
69371810,29.85,30.62,2009-02-11,PCAR,PACCAR INC,3711.0,296.0
69371810,29.48,29.0,2009-02-12,PCAR,PACCAR INC,3711.0,296.0
69371810,29.54,29.43,2009-02-13,PCAR,PACCAR INC,3711.0,296.0
69371810,27.44,27.98,2009-02-17,PCAR,PACCAR INC,3711.0,296.0
69371810,27.3,27.54,2009-02-18,PCAR,PACCAR INC,3711.0,296.0
69371810,26.62,27.65,2009-02-19,PCAR,PACCAR INC,3711.0,296.0
69371810,26.73,26.58,2009-02-20,PCAR,PACCAR INC,3711.0,296.0
69371810,25.3,26.84,2009-02-23,PCAR,PACCAR INC,3711.0,296.0
69371810,26.63,25.54,2009-02-24,PCAR,PACCAR INC,3711.0,296.0
69371810,25.83,26.16,2009-02-25,PCAR,PACCAR INC,3711.0,296.0
69371810,25.42,26.365,2009-02-26,PCAR,PACCAR INC,3711.0,296.0
69371810,25.07,25.4,2009-02-27,PCAR,PACCAR INC,3711.0,296.0
69371810,22.93,25.75,2009-03-02,PCAR,PACCAR INC,3711.0,296.0
69371810,23.24,23.01,2009-03-03,PCAR,PACCAR INC,3711.0,296.0
69371810,23.98,23.63,2009-03-04,PCAR,PACCAR INC,3711.0,296.0
69371810,22.35,23.83,2009-03-05,PCAR,PACCAR INC,3711.0,296.0
69371810,21.07,21.74,2009-03-06,PCAR,PACCAR INC,3711.0,296.0
69371810,20.89,20.76,2009-03-09,PCAR,PACCAR INC,3711.0,296.0
69371810,22.15,21.6,2009-03-10,PCAR,PACCAR INC,3711.0,296.0
69371810,22.79,22.18,2009-03-11,PCAR,PACCAR INC,3711.0,296.0
69371810,23.45,22.06,2009-03-12,PCAR,PACCAR INC,3711.0,296.0
69371810,23.49,23.5,2009-03-13,PCAR,PACCAR INC,3711.0,296.0
69371810,23.79,23.61,2009-03-16,PCAR,PACCAR INC,3711.0,296.0
69371810,24.59,23.58,2009-03-17,PCAR,PACCAR INC,3711.0,296.0
69371810,26.15,24.47,2009-03-18,PCAR,PACCAR INC,3711.0,296.0
69371810,26.03,25.9,2009-03-19,PCAR,PACCAR INC,3711.0,296.0
69371810,25.24,26.51,2009-03-20,PCAR,PACCAR INC,3711.0,296.0
69371810,28.44,26.9,2009-03-23,PCAR,PACCAR INC,3711.0,296.0
69371810,27.08,27.45,2009-03-24,PCAR,PACCAR INC,3711.0,296.0
69371810,26.14,26.55,2009-03-25,PCAR,PACCAR INC,3711.0,296.0
69371810,27.41,26.68,2009-03-26,PCAR,PACCAR INC,3711.0,296.0
69371810,26.59,26.7,2009-03-27,PCAR,PACCAR INC,3711.0,296.0
69371810,25.12,26.54,2009-03-30,PCAR,PACCAR INC,3711.0,296.0
69371810,25.76,25.58,2009-03-31,PCAR,PACCAR INC,3711.0,296.0
69371810,26.14,26.0,2009-04-01,PCAR,PACCAR INC,3711.0,296.0
69371810,28.9,26.8,2009-04-02,PCAR,PACCAR INC,3711.0,296.0
69371810,30.26,28.65,2009-04-03,PCAR,PACCAR INC,3711.0,296.0
69371810,29.09,30.11,2009-04-06,PCAR,PACCAR INC,3711.0,296.0
69371810,27.73,28.64,2009-04-07,PCAR,PACCAR INC,3711.0,296.0
69371810,28.65,27.86,2009-04-08,PCAR,PACCAR INC,3711.0,296.0
69371810,31.93,29.53,2009-04-09,PCAR,PACCAR INC,3711.0,296.0
69371810,31.46,31.66,2009-04-13,PCAR,PACCAR INC,3711.0,296.0
69371810,31.11,30.55,2009-04-14,PCAR,PACCAR INC,3711.0,296.0
69371810,31.2,30.86,2009-04-15,PCAR,PACCAR INC,3711.0,296.0
69371810,32.78,31.72,2009-04-16,PCAR,PACCAR INC,3711.0,296.0
69371810,33.86,32.74,2009-04-17,PCAR,PACCAR INC,3711.0,296.0
69371810,30.93,32.13,2009-04-20,PCAR,PACCAR INC,3711.0,296.0
69371810,31.88,30.3,2009-04-21,PCAR,PACCAR INC,3711.0,296.0
69371810,33.49,31.48,2009-04-22,PCAR,PACCAR INC,3711.0,296.0
69371810,32.9,31.85,2009-04-23,PCAR,PACCAR INC,3711.0,296.0
69371810,34.93,32.68,2009-04-24,PCAR,PACCAR INC,3711.0,296.0
69371810,34.16,33.7,2009-04-27,PCAR,PACCAR INC,3711.0,296.0
69371810,33.63,34.06,2009-04-28,PCAR,PACCAR INC,3711.0,296.0
69371810,35.83,34.17,2009-04-29,PCAR,PACCAR INC,3711.0,296.0
69371810,35.44,36.26,2009-04-30,PCAR,PACCAR INC,3711.0,296.0
69371810,34.5,35.33,2009-05-01,PCAR,PACCAR INC,3711.0,296.0
69371810,35.16,34.93,2009-05-04,PCAR,PACCAR INC,3711.0,296.0
69371810,34.41,34.52,2009-05-05,PCAR,PACCAR INC,3711.0,296.0
69371810,35.33,34.76,2009-05-06,PCAR,PACCAR INC,3711.0,296.0
69371810,33.01,35.74,2009-05-07,PCAR,PACCAR INC,3711.0,296.0
69371810,33.59,33.5,2009-05-08,PCAR,PACCAR INC,3711.0,296.0
69371810,32.42,33.11,2009-05-11,PCAR,PACCAR INC,3711.0,296.0
69371810,31.12,32.53,2009-05-12,PCAR,PACCAR INC,3711.0,296.0
69371810,29.57,30.64,2009-05-13,PCAR,PACCAR INC,3711.0,296.0
69371810,29.62,29.87,2009-05-14,PCAR,PACCAR INC,3711.0,296.0
69371810,28.88,29.0,2009-05-15,PCAR,PACCAR INC,3711.0,296.0
69371810,30.27,29.19,2009-05-18,PCAR,PACCAR INC,3711.0,296.0
69371810,30.38,29.89,2009-05-19,PCAR,PACCAR INC,3711.0,296.0
69371810,29.59,30.37,2009-05-20,PCAR,PACCAR INC,3711.0,296.0
69371810,28.39,29.16,2009-05-21,PCAR,PACCAR INC,3711.0,296.0
69371810,28.27,28.55,2009-05-22,PCAR,PACCAR INC,3711.0,296.0
