cusip,prc,openprc,date,numtrd,shrout,htick,hcomnam,hsiccd
57459910,11.37,11.23,2009-01-02,,359900.0,MAS,MASCO CORP,3432.0
57459910,11.73,11.28,2009-01-05,,359900.0,MAS,MASCO CORP,3432.0
57459910,11.91,11.8,2009-01-06,,359900.0,MAS,MASCO CORP,3432.0
57459910,11.11,11.5,2009-01-07,,359900.0,MAS,MASCO CORP,3432.0
57459910,11.52,11.04,2009-01-08,,359900.0,MAS,MASCO CORP,3432.0
57459910,11.3,11.56,2009-01-09,,359900.0,MAS,MASCO CORP,3432.0
57459910,10.82,11.22,2009-01-12,,359900.0,MAS,MASCO CORP,3432.0
57459910,10.84,10.75,2009-01-13,,359900.0,MAS,MASCO CORP,3432.0
57459910,10.24,10.63,2009-01-14,,359900.0,MAS,MASCO CORP,3432.0
57459910,10.24,10.31,2009-01-15,,359900.0,MAS,MASCO CORP,3432.0
57459910,10.36,10.28,2009-01-16,,359900.0,MAS,MASCO CORP,3432.0
57459910,9.41,10.41,2009-01-20,,359900.0,MAS,MASCO CORP,3432.0
57459910,9.6,9.45,2009-01-21,,359900.0,MAS,MASCO CORP,3432.0
57459910,9.0,9.29,2009-01-22,,359900.0,MAS,MASCO CORP,3432.0
57459910,9.04,8.84,2009-01-23,,359900.0,MAS,MASCO CORP,3432.0
57459910,8.93,8.93,2009-01-26,,359900.0,MAS,MASCO CORP,3432.0
57459910,8.64,9.14,2009-01-27,,359900.0,MAS,MASCO CORP,3432.0
57459910,9.4,8.8,2009-01-28,,359900.0,MAS,MASCO CORP,3432.0
57459910,8.36,9.19,2009-01-29,,359900.0,MAS,MASCO CORP,3432.0
57459910,7.82,8.23,2009-01-30,,359900.0,MAS,MASCO CORP,3432.0
57459910,7.86,7.6,2009-02-02,,359900.0,MAS,MASCO CORP,3432.0
57459910,8.09,8.03,2009-02-03,,359900.0,MAS,MASCO CORP,3432.0
57459910,8.01,8.13,2009-02-04,,359900.0,MAS,MASCO CORP,3432.0
57459910,7.98,7.96,2009-02-05,,359900.0,MAS,MASCO CORP,3432.0
